summary,summary_detail,id,guidislink,links,url,date,published_parsed,title,title_detail,ticker,source,text,Year,Month,Day,Weekday,text_length,word_count,title_length,title_word_count
"After reporting better-than-expected first quarter results, Goldman Sachs Group Inc. (NYSE:GS) highlighted in its earnings call that the bank navigated the market volatility with record equity revenue and warned about “material risks” to the U.S. and global economies amid the ongoing trade war. What Happened: Goldman Sachs navigated a quarter of “rapidly shifting sentiment” to deliver robust first-quarter 2025 results, highlighted by a record $4.2 billion in equities net revenue, according to it","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': 'After reporting better-than-expected first quarter results, Goldman Sachs Group Inc. (NYSE:GS) highlighted in its earnings call that the bank navigated the market volatility with record equity revenue and warned about “material risks” to the U.S. and global economies amid the ongoing trade war. What Happened: Goldman Sachs navigated a quarter of “rapidly shifting sentiment” to deliver robust first-quarter 2025 results, highlighted by a record $4.2 billion in equities net revenue, according to it'}",b2fb2d2a-1982-3346-aa5f-2f4ec006ec54,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/goldman-sachs-warns-material-risks-072645690.html?.tsrc=rss'}]",https://finance.yahoo.com/news/goldman-sachs-warns-material-risks-072645690.html?.tsrc=rss,2025-04-15 07:26:45,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=15, tm_hour=7, tm_min=26, tm_sec=45, tm_wday=1, tm_yday=105, tm_isdst=0)","Goldman Sachs Warns Of 'Material Risks' To US And Global Economy Amid Trade War, As Record Equity Revenue Drives Strong Q1 Results","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': ""Goldman Sachs Warns Of 'Material Risks' To US And Global Economy Amid Trade War, As Record Equity Revenue Drives Strong Q1 Results""}",GS,Yahoo Finance,"Goldman Sachs Warns Of 'Material Risks' To US And Global Economy Amid Trade War, As Record Equity Revenue Drives Strong Q1 Results After reporting better-than-expected first quarter results, Goldman Sachs Group Inc. (NYSE:GS) highlighted in its earnings call that the bank navigated the market volatility with record equity revenue and warned about “material risks” to the U.S. and global economies amid the ongoing trade war. What Happened: Goldman Sachs navigated a quarter of “rapidly shifting sentiment” to deliver robust first-quarter 2025 results, highlighted by a record $4.2 billion in equities net revenue, according to it",2025,4,15,1,631,95,130,22
"Goldman Sachs reports robust earnings and record assets under supervision, despite facing economic uncertainties and muted investment banking activity.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': 'Goldman Sachs reports robust earnings and record assets under supervision, despite facing economic uncertainties and muted investment banking activity.'}",990c5e37-274e-3ff4-b587-8cdc76352cbd,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/goldman-sachs-group-inc-gs-070028125.html?.tsrc=rss'}]",https://finance.yahoo.com/news/goldman-sachs-group-inc-gs-070028125.html?.tsrc=rss,2025-04-15 07:00:28,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=15, tm_hour=7, tm_min=0, tm_sec=28, tm_wday=1, tm_yday=105, tm_isdst=0)",The Goldman Sachs Group Inc (GS) Q1 2025 Earnings Call Highlights: Strong Revenue Growth Amid ...,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': 'The Goldman Sachs Group Inc (GS) Q1 2025 Earnings Call Highlights: Strong Revenue Growth Amid ...'}",GS,Yahoo Finance,"The Goldman Sachs Group Inc (GS) Q1 2025 Earnings Call Highlights: Strong Revenue Growth Amid ... Goldman Sachs reports robust earnings and record assets under supervision, despite facing economic uncertainties and muted investment banking activity.",2025,4,15,1,249,35,97,16
"(Bloomberg) -- Supply Lines is a daily newsletter that tracks global trade. Sign up here.Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortageUBS Group AG added to a series of growth downgrades for China with the most pessimistic forecast among major banks, predicting the economy will expa","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': '(Bloomberg) -- Supply Lines is a daily newsletter that tracks global trade. Sign up here.Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortageUBS Group AG added to a series of growth downgrades for China with the most pessimistic forecast among major banks, predicting the economy will expa'}",c39e5925-2e67-3eee-87e1-4d48b86223da,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/china-gets-worst-2025-growth-053102116.html?.tsrc=rss'}]",https://finance.yahoo.com/news/china-gets-worst-2025-growth-053102116.html?.tsrc=rss,2025-04-15 05:31:02,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=15, tm_hour=5, tm_min=31, tm_sec=2, tm_wday=1, tm_yday=105, tm_isdst=0)",China gets worst 2025 growth forecast yet with UBS downgrade,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': 'China gets worst 2025 growth forecast yet with UBS downgrade'}",GS,Yahoo Finance,"China gets worst 2025 growth forecast yet with UBS downgrade (Bloomberg) -- Supply Lines is a daily newsletter that tracks global trade. Sign up here.Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortageUBS Group AG added to a series of growth downgrades for China with the most pessimistic forecast among major banks, predicting the economy will expa",2025,4,15,1,561,87,60,10
Q1 2025 Goldman Sachs Group Inc Earnings Call,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': 'Q1 2025 Goldman Sachs Group Inc Earnings Call'}",7cac571a-36ad-3848-b19e-ea5bcdc6da26,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/q1-2025-goldman-sachs-group-044036951.html?.tsrc=rss'}]",https://finance.yahoo.com/news/q1-2025-goldman-sachs-group-044036951.html?.tsrc=rss,2025-04-15 04:40:36,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=15, tm_hour=4, tm_min=40, tm_sec=36, tm_wday=1, tm_yday=105, tm_isdst=0)",Q1 2025 Goldman Sachs Group Inc Earnings Call,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': 'Q1 2025 Goldman Sachs Group Inc Earnings Call'}",GS,Yahoo Finance,Q1 2025 Goldman Sachs Group Inc Earnings Call Q1 2025 Goldman Sachs Group Inc Earnings Call,2025,4,15,1,91,16,45,8
"(Bloomberg) -- As China staggers into a slowdown caused by Donald Trump’s trade war, a hobbled jobs market is impairing the resilience Beijing needs to battle it out against the US.Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortageTrump’s 145% tariffs on China’s goods are threatening to","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': '(Bloomberg) -- As China staggers into a slowdown caused by Donald Trump’s trade war, a hobbled jobs market is impairing the resilience Beijing needs to battle it out against the US.Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortageTrump’s 145% tariffs on China’s goods are threatening to'}",c9bd254c-f22e-3f91-9054-0725d6854664,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/tariffs-impact-millions-chinese-workers-060000128.html?.tsrc=rss'}]",https://finance.yahoo.com/news/tariffs-impact-millions-chinese-workers-060000128.html?.tsrc=rss,2025-04-15 02:26:18,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=15, tm_hour=2, tm_min=26, tm_sec=18, tm_wday=1, tm_yday=105, tm_isdst=0)",Tariffs to Impact Millions of Chinese Workers in Blow to Economy,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': 'Tariffs to Impact Millions of Chinese Workers in Blow to Economy'}",GS,Yahoo Finance,"Tariffs to Impact Millions of Chinese Workers in Blow to Economy (Bloomberg) -- As China staggers into a slowdown caused by Donald Trump’s trade war, a hobbled jobs market is impairing the resilience Beijing needs to battle it out against the US.Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortageTrump’s 145% tariffs on China’s goods are threatening to",2025,4,15,1,565,88,64,11
"Goldman Sachs JPMorgan  Chase and  Morgan Stanley  all said a surge in trading revenue helped lift their profits in the first quarter and beat expectations.  Bank trading desks have been collecting more fees from investors scrambling to reduce or dial up the risk in their portfolios on any new clue about how  President Trump’s  tariffs might ultimately play out.  Combined, the three banks earned more than $12 billion in fees in their equities businesses, the desks that run stock-market related activities for clients.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': 'Goldman Sachs JPMorgan  Chase and  Morgan Stanley  all said a surge in trading revenue helped lift their profits in the first quarter and beat expectations.  Bank trading desks have been collecting more fees from investors scrambling to reduce or dial up the risk in their portfolios on any new clue about how  President Trump’s  tariffs might ultimately play out.  Combined, the three banks earned more than $12 billion in fees in their equities businesses, the desks that run stock-market related activities for clients.'}",83b1e20e-31a1-391d-b38f-71c1e13a3383,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/83b1e20e-31a1-391d-b38f-71c1e13a3383/bank-trading-desks-are.html?.tsrc=rss'}]",https://finance.yahoo.com/m/83b1e20e-31a1-391d-b38f-71c1e13a3383/bank-trading-desks-are.html?.tsrc=rss,2025-04-15 01:00:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=15, tm_hour=1, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=105, tm_isdst=0)",Bank Trading Desks Are Minting Money From Trump’s Tariff Chaos,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': 'Bank Trading Desks Are Minting Money From Trump’s Tariff Chaos'}",GS,Yahoo Finance,"Bank Trading Desks Are Minting Money From Trump’s Tariff Chaos Goldman Sachs JPMorgan  Chase and  Morgan Stanley  all said a surge in trading revenue helped lift their profits in the first quarter and beat expectations.  Bank trading desks have been collecting more fees from investors scrambling to reduce or dial up the risk in their portfolios on any new clue about how  President Trump’s  tariffs might ultimately play out.  Combined, the three banks earned more than $12 billion in fees in their equities businesses, the desks that run stock-market related activities for clients.",2025,4,15,1,585,93,62,10
"(Bloomberg) -- Worries over global trade dragged the dollar to a six-month low on Monday, leaving investors bracing for more weakness ahead. Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortageThe Bloomberg Dollar Spot Index extended declines for a fifth day, falling a total of 3.3% durin","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': '(Bloomberg) -- Worries over global trade dragged the dollar to a six-month low on Monday, leaving investors bracing for more weakness ahead. Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortageThe Bloomberg Dollar Spot Index extended declines for a fifth day, falling a total of 3.3% durin'}",d07a2f66-c545-35d7-9a73-544cfdbc9600,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/dollar-finds-support-now-trump-210918190.html?.tsrc=rss'}]",https://finance.yahoo.com/news/dollar-finds-support-now-trump-210918190.html?.tsrc=rss,2025-04-14 20:38:38,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=20, tm_min=38, tm_sec=38, tm_wday=0, tm_yday=104, tm_isdst=0)",Dollar’s Losing Run Shows Wall Street Angst Over Tariff U-Turns,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': 'Dollar’s Losing Run Shows Wall Street Angst Over Tariff U-Turns'}",GS,Yahoo Finance,"Dollar’s Losing Run Shows Wall Street Angst Over Tariff U-Turns (Bloomberg) -- Worries over global trade dragged the dollar to a six-month low on Monday, leaving investors bracing for more weakness ahead. Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortageThe Bloomberg Dollar Spot Index extended declines for a fifth day, falling a total of 3.3% durin",2025,4,14,0,564,87,63,10
"U.S. stocks edged up Monday as investors digested mixed messages on the trade war, following some of the most chaotic and turbulent weeks in recent market memory.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': 'U.S. stocks edged up Monday as investors digested mixed messages on the trade war, following some of the most chaotic and turbulent weeks in recent market memory.'}",afb318d2-6e15-3f92-ab0f-e27044419bdf,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/stocks-rise-apple-jumps-goldman-121600681.html?.tsrc=rss'}]",https://finance.yahoo.com/news/stocks-rise-apple-jumps-goldman-121600681.html?.tsrc=rss,2025-04-14 20:30:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=20, tm_min=30, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)","The Dow and S&P 500 rise slightly, but tariff and recession fears linger","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': 'The Dow and S&P 500 rise slightly, but tariff and recession fears linger'}",GS,Yahoo Finance,"The Dow and S&P 500 rise slightly, but tariff and recession fears linger U.S. stocks edged up Monday as investors digested mixed messages on the trade war, following some of the most chaotic and turbulent weeks in recent market memory.",2025,4,14,0,235,40,72,13
The Dow Jones rose on the stock market today and auto stocks popped after President Donald Trump spoke out. Palantir stock was higher while Nvidia fell.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': 'The Dow Jones rose on the stock market today and auto stocks popped after President Donald Trump spoke out. Palantir stock was higher while Nvidia fell.'}",340f364a-fa47-30cc-9c19-b947b2bb27cd,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/340f364a-fa47-30cc-9c19-b947b2bb27cd/stock-market-today%3A-dow-jones.html?.tsrc=rss'}]",https://finance.yahoo.com/m/340f364a-fa47-30cc-9c19-b947b2bb27cd/stock-market-today%3A-dow-jones.html?.tsrc=rss,2025-04-14 20:27:18,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=20, tm_min=27, tm_sec=18, tm_wday=0, tm_yday=104, tm_isdst=0)",Stock Market Today: Dow Jones Up As Fed's Waller Says This On Rate Cuts; Trump Wants To 'Help' Autos But Tesla Lags (Live Coverage),"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': ""Stock Market Today: Dow Jones Up As Fed's Waller Says This On Rate Cuts; Trump Wants To 'Help' Autos But Tesla Lags (Live Coverage)""}",GS,Yahoo Finance,Stock Market Today: Dow Jones Up As Fed's Waller Says This On Rate Cuts; Trump Wants To 'Help' Autos But Tesla Lags (Live Coverage) The Dow Jones rose on the stock market today and auto stocks popped after President Donald Trump spoke out. Palantir stock was higher while Nvidia fell.,2025,4,14,0,284,50,131,24
Goldman Sachs earnings beat Q1 views as global banking revenue offset declines elsewhere. The Dow giant was cautious on Q2. But GS stock rose.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': 'Goldman Sachs earnings beat Q1 views as global banking revenue offset declines elsewhere. The Dow giant was cautious on Q2. But GS stock rose.'}",57285fd5-fb6b-35b8-a4cd-cb0d2eb82c39,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/57285fd5-fb6b-35b8-a4cd-cb0d2eb82c39/goldman-sachs-trounces-views%2C.html?.tsrc=rss'}]",https://finance.yahoo.com/m/57285fd5-fb6b-35b8-a4cd-cb0d2eb82c39/goldman-sachs-trounces-views%2C.html?.tsrc=rss,2025-04-14 20:14:51,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=20, tm_min=14, tm_sec=51, tm_wday=0, tm_yday=104, tm_isdst=0)","Goldman Sachs Trounces Views, Sees 'Markedly Different' Environment In Q2","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': ""Goldman Sachs Trounces Views, Sees 'Markedly Different' Environment In Q2""}",GS,Yahoo Finance,"Goldman Sachs Trounces Views, Sees 'Markedly Different' Environment In Q2 Goldman Sachs earnings beat Q1 views as global banking revenue offset declines elsewhere. The Dow giant was cautious on Q2. But GS stock rose.",2025,4,14,0,216,34,73,10
