summary,summary_detail,id,guidislink,links,url,date,published_parsed,title,title_detail,ticker,source,text,Year,Month,Day,Weekday,text_length,word_count,title_length,title_word_count
"(Bloomberg) -- Stocks rose as US President Donald Trump floated a potential pause in auto tariffs, providing further relief to the market after he suspended levies on some consumer electronics.Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortageEurope’s Stoxx 600 index advanced 1%, buoyed","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=JPM&region=US&lang=en-US', 'value': '(Bloomberg) -- Stocks rose as US President Donald Trump floated a potential pause in auto tariffs, providing further relief to the market after he suspended levies on some consumer electronics.Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortageEurope’s Stoxx 600 index advanced 1%, buoyed'}",2920ee04-a4f3-3cad-a158-28d659163792,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/stocks-rise-led-japan-auto-040211765.html?.tsrc=rss'}]",https://finance.yahoo.com/news/stocks-rise-led-japan-auto-040211765.html?.tsrc=rss,2025-04-15 08:26:08,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=15, tm_hour=8, tm_min=26, tm_sec=8, tm_wday=1, tm_yday=105, tm_isdst=0)",Stocks Get a Boost From Reprieve on Auto Tariffs: Markets Wrap,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=JPM&region=US&lang=en-US', 'value': 'Stocks Get a Boost From Reprieve on Auto Tariffs: Markets Wrap'}",JPM,Yahoo Finance,"Stocks Get a Boost From Reprieve on Auto Tariffs: Markets Wrap (Bloomberg) -- Stocks rose as US President Donald Trump floated a potential pause in auto tariffs, providing further relief to the market after he suspended levies on some consumer electronics.Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortageEurope’s Stoxx 600 index advanced 1%, buoyed",2025,4,15,1,563,85,62,11
"(Bloomberg) -- Wall Street on Monday finally caught a respite from the deep selloffs and unusually sharp swings that have raced through markets ever since President Donald Trump unleashed his global trade war. Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortageThat was most evident in th","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=JPM&region=US&lang=en-US', 'value': '(Bloomberg) -- Wall Street on Monday finally caught a respite from the deep selloffs and unusually sharp swings that have raced through markets ever since President Donald Trump unleashed his global trade war. Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortageThat was most evident in th'}",5bab084b-9b90-34bc-9567-c47f69114287,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/bond-market-rebound-relieves-markets-200910752.html?.tsrc=rss'}]",https://finance.yahoo.com/news/bond-market-rebound-relieves-markets-200910752.html?.tsrc=rss,2025-04-15 04:43:05,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=15, tm_hour=4, tm_min=43, tm_sec=5, tm_wday=1, tm_yday=105, tm_isdst=0)",Bond Rebound Relieves Markets Dazed by Week of Trade Turmoil,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=JPM&region=US&lang=en-US', 'value': 'Bond Rebound Relieves Markets Dazed by Week of Trade Turmoil'}",JPM,Yahoo Finance,"Bond Rebound Relieves Markets Dazed by Week of Trade Turmoil (Bloomberg) -- Wall Street on Monday finally caught a respite from the deep selloffs and unusually sharp swings that have raced through markets ever since President Donald Trump unleashed his global trade war. Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortageThat was most evident in th",2025,4,15,1,561,87,60,10
"Goldman Sachs JPMorgan  Chase and  Morgan Stanley  all said a surge in trading revenue helped lift their profits in the first quarter and beat expectations.  Bank trading desks have been collecting more fees from investors scrambling to reduce or dial up the risk in their portfolios on any new clue about how  President Trump’s  tariffs might ultimately play out.  Combined, the three banks earned more than $12 billion in fees in their equities businesses, the desks that run stock-market related activities for clients.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=JPM&region=US&lang=en-US', 'value': 'Goldman Sachs JPMorgan  Chase and  Morgan Stanley  all said a surge in trading revenue helped lift their profits in the first quarter and beat expectations.  Bank trading desks have been collecting more fees from investors scrambling to reduce or dial up the risk in their portfolios on any new clue about how  President Trump’s  tariffs might ultimately play out.  Combined, the three banks earned more than $12 billion in fees in their equities businesses, the desks that run stock-market related activities for clients.'}",83b1e20e-31a1-391d-b38f-71c1e13a3383,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/83b1e20e-31a1-391d-b38f-71c1e13a3383/bank-trading-desks-are.html?.tsrc=rss'}]",https://finance.yahoo.com/m/83b1e20e-31a1-391d-b38f-71c1e13a3383/bank-trading-desks-are.html?.tsrc=rss,2025-04-15 01:00:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=15, tm_hour=1, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=105, tm_isdst=0)",Bank Trading Desks Are Minting Money From Trump’s Tariff Chaos,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=JPM&region=US&lang=en-US', 'value': 'Bank Trading Desks Are Minting Money From Trump’s Tariff Chaos'}",JPM,Yahoo Finance,"Bank Trading Desks Are Minting Money From Trump’s Tariff Chaos Goldman Sachs JPMorgan  Chase and  Morgan Stanley  all said a surge in trading revenue helped lift their profits in the first quarter and beat expectations.  Bank trading desks have been collecting more fees from investors scrambling to reduce or dial up the risk in their portfolios on any new clue about how  President Trump’s  tariffs might ultimately play out.  Combined, the three banks earned more than $12 billion in fees in their equities businesses, the desks that run stock-market related activities for clients.",2025,4,15,1,585,93,62,10
"Dimon had also offloaded some shares last year in his first such sale since taking over the top role in 2005.  JPMorgan, the largest U.S. lender, last week surpassed its first-quarter profit estimates on record equities trading and higher fees from debt underwriting and advising on mergers.  Dimon's 2024 pay package went up 8.3% to $39 million.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=JPM&region=US&lang=en-US', 'value': ""Dimon had also offloaded some shares last year in his first such sale since taking over the top role in 2005.  JPMorgan, the largest U.S. lender, last week surpassed its first-quarter profit estimates on record equities trading and higher fees from debt underwriting and advising on mergers.  Dimon's 2024 pay package went up 8.3% to $39 million.""}",649bc682-5cf3-3536-99cd-052cb5f8c981,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://ca.finance.yahoo.com/news/jamie-dimon-sells-31-5-220635729.html?.tsrc=rss'}]",https://ca.finance.yahoo.com/news/jamie-dimon-sells-31-5-220635729.html?.tsrc=rss,2025-04-14 22:06:35,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=22, tm_min=6, tm_sec=35, tm_wday=0, tm_yday=104, tm_isdst=0)",Jamie Dimon sells about $31.5 million worth of JPMorgan shares,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=JPM&region=US&lang=en-US', 'value': 'Jamie Dimon sells about $31.5 million worth of JPMorgan shares'}",JPM,Yahoo Finance,"Jamie Dimon sells about $31.5 million worth of JPMorgan shares Dimon had also offloaded some shares last year in his first such sale since taking over the top role in 2005.  JPMorgan, the largest U.S. lender, last week surpassed its first-quarter profit estimates on record equities trading and higher fees from debt underwriting and advising on mergers.  Dimon's 2024 pay package went up 8.3% to $39 million.",2025,4,14,0,409,67,62,10
"(Bloomberg) -- Worries over global trade dragged the dollar to a six-month low on Monday, leaving investors bracing for more weakness ahead. Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortageThe Bloomberg Dollar Spot Index extended declines for a fifth day, falling a total of 3.3% durin","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=JPM&region=US&lang=en-US', 'value': '(Bloomberg) -- Worries over global trade dragged the dollar to a six-month low on Monday, leaving investors bracing for more weakness ahead. Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortageThe Bloomberg Dollar Spot Index extended declines for a fifth day, falling a total of 3.3% durin'}",d07a2f66-c545-35d7-9a73-544cfdbc9600,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/dollar-finds-support-now-trump-210918190.html?.tsrc=rss'}]",https://finance.yahoo.com/news/dollar-finds-support-now-trump-210918190.html?.tsrc=rss,2025-04-14 20:38:38,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=20, tm_min=38, tm_sec=38, tm_wday=0, tm_yday=104, tm_isdst=0)",Dollar’s Losing Run Shows Wall Street Angst Over Tariff U-Turns,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=JPM&region=US&lang=en-US', 'value': 'Dollar’s Losing Run Shows Wall Street Angst Over Tariff U-Turns'}",JPM,Yahoo Finance,"Dollar’s Losing Run Shows Wall Street Angst Over Tariff U-Turns (Bloomberg) -- Worries over global trade dragged the dollar to a six-month low on Monday, leaving investors bracing for more weakness ahead. Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortageThe Bloomberg Dollar Spot Index extended declines for a fifth day, falling a total of 3.3% durin",2025,4,14,0,564,87,63,10
Goldman Sachs earnings beat Q1 views as global banking revenue offset declines elsewhere. The Dow giant was cautious on Q2. But GS stock rose.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=JPM&region=US&lang=en-US', 'value': 'Goldman Sachs earnings beat Q1 views as global banking revenue offset declines elsewhere. The Dow giant was cautious on Q2. But GS stock rose.'}",57285fd5-fb6b-35b8-a4cd-cb0d2eb82c39,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/57285fd5-fb6b-35b8-a4cd-cb0d2eb82c39/goldman-sachs-trounces-views%2C.html?.tsrc=rss'}]",https://finance.yahoo.com/m/57285fd5-fb6b-35b8-a4cd-cb0d2eb82c39/goldman-sachs-trounces-views%2C.html?.tsrc=rss,2025-04-14 20:14:51,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=20, tm_min=14, tm_sec=51, tm_wday=0, tm_yday=104, tm_isdst=0)","Goldman Sachs Trounces Views, Sees 'Markedly Different' Environment In Q2","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=JPM&region=US&lang=en-US', 'value': ""Goldman Sachs Trounces Views, Sees 'Markedly Different' Environment In Q2""}",JPM,Yahoo Finance,"Goldman Sachs Trounces Views, Sees 'Markedly Different' Environment In Q2 Goldman Sachs earnings beat Q1 views as global banking revenue offset declines elsewhere. The Dow giant was cautious on Q2. But GS stock rose.",2025,4,14,0,216,34,73,10
"We recently published a list of Jim Cramer Hints at a Bigger Agenda Behind Tariffs and Breaks Down These 7 Stocks. In this article, we are going to take a look at where JPMorgan Chase & Co. (NYSE:JPM) stands against other stocks that Jim Cramer discusses. In his latest appearance on CNBC’s Squawk on the Street, […]","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=JPM&region=US&lang=en-US', 'value': 'We recently published a list of Jim Cramer Hints at a Bigger Agenda Behind Tariffs and Breaks Down These 7 Stocks. In this article, we are going to take a look at where JPMorgan Chase & Co. (NYSE:JPM) stands against other stocks that Jim Cramer discusses. In his latest appearance on CNBC’s Squawk on the Street, […]'}",4c9bc0da-c956-3045-83c7-bff74d47e69d,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/jim-cramer-jpmorgan-jpm-companies-192833550.html?.tsrc=rss'}]",https://finance.yahoo.com/news/jim-cramer-jpmorgan-jpm-companies-192833550.html?.tsrc=rss,2025-04-14 19:28:33,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=19, tm_min=28, tm_sec=33, tm_wday=0, tm_yday=104, tm_isdst=0)",Jim Cramer on JPMorgan (JPM): “These Companies Are Great – Why Didn’t I Pay $224?”,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=JPM&region=US&lang=en-US', 'value': 'Jim Cramer on JPMorgan (JPM): “These Companies Are Great – Why Didn’t I Pay $224?”'}",JPM,Yahoo Finance,"Jim Cramer on JPMorgan (JPM): “These Companies Are Great – Why Didn’t I Pay $224?” We recently published a list of Jim Cramer Hints at a Bigger Agenda Behind Tariffs and Breaks Down These 7 Stocks. In this article, we are going to take a look at where JPMorgan Chase & Co. (NYSE:JPM) stands against other stocks that Jim Cramer discusses. In his latest appearance on CNBC’s Squawk on the Street, […]",2025,4,14,0,399,72,82,15
"(Bloomberg) -- Oil held steady as traders weighed the latest US moves in the global trade war, as well as the prospect of looser restrictions on Iranian crude.Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortageWest Texas Intermediate settled little changed near $61.50 a barrel, and Brent","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=JPM&region=US&lang=en-US', 'value': '(Bloomberg) -- Oil held steady as traders weighed the latest US moves in the global trade war, as well as the prospect of looser restrictions on Iranian crude.Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortageWest Texas Intermediate settled little changed near $61.50 a barrel, and Brent'}",48ef5c24-092d-3ab6-82e7-4cdb9ebb9288,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/oil-steady-trump-tariff-reprieve-223603774.html?.tsrc=rss'}]",https://finance.yahoo.com/news/oil-steady-trump-tariff-reprieve-223603774.html?.tsrc=rss,2025-04-14 19:04:06,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=19, tm_min=4, tm_sec=6, tm_wday=0, tm_yday=104, tm_isdst=0)",Oil Steadies as Progress on Iran Talks Undercuts Tariff Reprieve,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=JPM&region=US&lang=en-US', 'value': 'Oil Steadies as Progress on Iran Talks Undercuts Tariff Reprieve'}",JPM,Yahoo Finance,"Oil Steadies as Progress on Iran Talks Undercuts Tariff Reprieve (Bloomberg) -- Oil held steady as traders weighed the latest US moves in the global trade war, as well as the prospect of looser restrictions on Iranian crude.Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortageWest Texas Intermediate settled little changed near $61.50 a barrel, and Brent",2025,4,14,0,565,87,64,10
JPMorgan Chase ( NYSE:JPM ) First Quarter 2025 Results Key Financial Results Revenue: US$42.0b (up 4.8% from 1Q 2024...,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=JPM&region=US&lang=en-US', 'value': 'JPMorgan Chase ( NYSE:JPM ) First Quarter 2025 Results Key Financial Results Revenue: US$42.0b (up 4.8% from 1Q 2024...'}",d4accc50-724c-36ea-a2da-c9ae9c5e5e91,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/jpmorgan-chase-first-quarter-2025-184304626.html?.tsrc=rss'}]",https://finance.yahoo.com/news/jpmorgan-chase-first-quarter-2025-184304626.html?.tsrc=rss,2025-04-14 18:43:04,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=18, tm_min=43, tm_sec=4, tm_wday=0, tm_yday=104, tm_isdst=0)",JPMorgan Chase First Quarter 2025 Earnings: Beats Expectations,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=JPM&region=US&lang=en-US', 'value': 'JPMorgan Chase First Quarter 2025 Earnings: Beats Expectations'}",JPM,Yahoo Finance,JPMorgan Chase First Quarter 2025 Earnings: Beats Expectations JPMorgan Chase ( NYSE:JPM ) First Quarter 2025 Results Key Financial Results Revenue: US$42.0b (up 4.8% from 1Q 2024...,2025,4,14,0,182,27,62,8
"JP Morgan has revised its oil price forecasts downward for 2025 and 2026, citing increased production from the OPEC+ alliance and a projected decline in global demand, as per a note on Monday. The bank cut its 2025 Brent price forecast to $66 per barrel from $73 per barrel and 2026 target to $58 from $61. The following is a list of the latest brokerage forecasts for 2025 and 2026 average prices for Brent and WTI (in $ per barrel): Brokerage/Agency Brent WTI Forecasts as of 2025 2026 2025 2026 Goldman Sachs $69 $62 $66 $59 April 03, 2025 HSBC $73 $70 - - March 18, 2025 Barclays $74 - $70 - March 14, 2025 BofA $75 $73 - - February 24, 2025 Citi $67 $65 $63 $62 January 22, 2025 Deutsche Bank $7...","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=JPM&region=US&lang=en-US', 'value': 'JP Morgan has revised its oil price forecasts downward for 2025 and 2026, citing increased production from the OPEC+ alliance and a projected decline in global demand, as per a note on Monday. The bank cut its 2025 Brent price forecast to $66 per barrel from $73 per barrel and 2026 target to $58 from $61. The following is a list of the latest brokerage forecasts for 2025 and 2026 average prices for Brent and WTI (in $ per barrel): Brokerage/Agency Brent WTI Forecasts as of 2025 2026 2025 2026 Goldman Sachs $69 $62 $66 $59 April 03, 2025 HSBC $73 $70 - - March 18, 2025 Barclays $74 - $70 - March 14, 2025 BofA $75 $73 - - February 24, 2025 Citi $67 $65 $63 $62 January 22, 2025 Deutsche Bank $7...'}",7c7b012d-e100-30be-b79b-399d1a0a8629,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://ca.finance.yahoo.com/news/factbox-jp-morgan-cuts-oil-182316958.html?.tsrc=rss'}]",https://ca.finance.yahoo.com/news/factbox-jp-morgan-cuts-oil-182316958.html?.tsrc=rss,2025-04-14 18:23:16,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=18, tm_min=23, tm_sec=16, tm_wday=0, tm_yday=104, tm_isdst=0)","Factbox-JP Morgan cuts oil price forecasts on weak demand, higher output","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=JPM&region=US&lang=en-US', 'value': 'Factbox-JP Morgan cuts oil price forecasts on weak demand, higher output'}",JPM,Yahoo Finance,"Factbox-JP Morgan cuts oil price forecasts on weak demand, higher output JP Morgan has revised its oil price forecasts downward for 2025 and 2026, citing increased production from the OPEC+ alliance and a projected decline in global demand, as per a note on Monday. The bank cut its 2025 Brent price forecast to $66 per barrel from $73 per barrel and 2026 target to $58 from $61. The following is a list of the latest brokerage forecasts for 2025 and 2026 average prices for Brent and WTI (in $ per barrel): Brokerage/Agency Brent WTI Forecasts as of 2025 2026 2025 2026 Goldman Sachs $69 $62 $66 $59 April 03, 2025 HSBC $73 $70 - - March 18, 2025 Barclays $74 - $70 - March 14, 2025 BofA $75 $73 - - February 24, 2025 Citi $67 $65 $63 $62 January 22, 2025 Deutsche Bank $7...",2025,4,14,0,776,145,72,11
