summary,summary_detail,id,guidislink,links,url,date,published_parsed,title,title_detail,ticker,source,text,Year,Month,Day,Weekday,text_length,word_count,title_length,title_word_count
Take advantage of the recent sell-off with these three bargain growth stocks.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': 'Take advantage of the recent sell-off with these three bargain growth stocks.'}",a310aa7b-a20d-34cb-95b4-ef436304b4c1,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.fool.com/investing/2025/04/15/3-incredible-growth-stocks-that-are-now-too-cheap/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=3b8720e8-22a2-466a-a027-81368ff654a8&.tsrc=rss'}]",https://www.fool.com/investing/2025/04/15/3-incredible-growth-stocks-that-are-now-too-cheap/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=3b8720e8-22a2-466a-a027-81368ff654a8&.tsrc=rss,2025-04-15 08:15:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=15, tm_hour=8, tm_min=15, tm_sec=0, tm_wday=1, tm_yday=105, tm_isdst=0)",3 Incredible Growth Stocks That Are Now Too Cheap to Ignore,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': '3 Incredible Growth Stocks That Are Now Too Cheap to Ignore'}",GOOGL,Yahoo Finance,3 Incredible Growth Stocks That Are Now Too Cheap to Ignore Take advantage of the recent sell-off with these three bargain growth stocks.,2025,4,15,1,137,23,59,11
"Japan's competition watchdog issued a cease and desist order to Alphabet's Google on Tuesday for anticompetitive practices in the first such action against a U.S. tech giant. Google made smartphone makers prioritise its services, the Japan Fair Trade Commission (JFTC) said. The search giant must appoint a third party to monitor and report back to the watchdog.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': ""Japan's competition watchdog issued a cease and desist order to Alphabet's Google on Tuesday for anticompetitive practices in the first such action against a U.S. tech giant. Google made smartphone makers prioritise its services, the Japan Fair Trade Commission (JFTC) said. The search giant must appoint a third party to monitor and report back to the watchdog.""}",780d7896-d9d3-3f6c-8c66-ba2574db241a,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/japan-competition-watchdog-issues-cease-072431203.html?.tsrc=rss'}]",https://finance.yahoo.com/news/japan-competition-watchdog-issues-cease-072431203.html?.tsrc=rss,2025-04-15 07:24:31,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=15, tm_hour=7, tm_min=24, tm_sec=31, tm_wday=1, tm_yday=105, tm_isdst=0)",Japan competition watchdog issues cease and desist order to Google,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': 'Japan competition watchdog issues cease and desist order to Google'}",GOOGL,Yahoo Finance,"Japan competition watchdog issues cease and desist order to Google Japan's competition watchdog issued a cease and desist order to Alphabet's Google on Tuesday for anticompetitive practices in the first such action against a U.S. tech giant. Google made smartphone makers prioritise its services, the Japan Fair Trade Commission (JFTC) said. The search giant must appoint a third party to monitor and report back to the watchdog.",2025,4,15,1,429,67,66,10
"Technology stocks are tumbling.  A tariff war has started between the United States and China, injecting uncertainty into the stock market.  Given how unpredictable these tariffs are, the best move may be to look for high-quality stocks that are unaffected by China and United States foreign trade, meaning companies that don't ship physical goods from China to the States or vice versa.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': ""Technology stocks are tumbling.  A tariff war has started between the United States and China, injecting uncertainty into the stock market.  Given how unpredictable these tariffs are, the best move may be to look for high-quality stocks that are unaffected by China and United States foreign trade, meaning companies that don't ship physical goods from China to the States or vice versa.""}",dc72b2da-c02d-3b3c-aedd-e43afb26afd4,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.fool.com/investing/2025/04/15/2-top-tech-stocks-that-could-make-you-a-millionair/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=855b55d0-dedb-4583-9dc0-5a474a3f9c50&.tsrc=rss'}]",https://www.fool.com/investing/2025/04/15/2-top-tech-stocks-that-could-make-you-a-millionair/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=855b55d0-dedb-4583-9dc0-5a474a3f9c50&.tsrc=rss,2025-04-15 07:12:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=15, tm_hour=7, tm_min=12, tm_sec=0, tm_wday=1, tm_yday=105, tm_isdst=0)",2 Top Tech Stocks That Could Make You a Millionaire,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': '2 Top Tech Stocks That Could Make You a Millionaire'}",GOOGL,Yahoo Finance,"2 Top Tech Stocks That Could Make You a Millionaire Technology stocks are tumbling.  A tariff war has started between the United States and China, injecting uncertainty into the stock market.  Given how unpredictable these tariffs are, the best move may be to look for high-quality stocks that are unaffected by China and United States foreign trade, meaning companies that don't ship physical goods from China to the States or vice versa.",2025,4,15,1,439,72,51,10
"Alphabet (GOOGL) concluded the recent trading session at $159.07, signifying a +1.23% move from its prior day's close.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': ""Alphabet (GOOGL) concluded the recent trading session at $159.07, signifying a +1.23% move from its prior day's close.""}",aa427f18-05bd-3583-ad2d-ebb40a391428,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/alphabet-googl-outperforms-broader-market-214518246.html?.tsrc=rss'}]",https://finance.yahoo.com/news/alphabet-googl-outperforms-broader-market-214518246.html?.tsrc=rss,2025-04-14 21:45:18,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=21, tm_min=45, tm_sec=18, tm_wday=0, tm_yday=104, tm_isdst=0)",Alphabet (GOOGL) Outperforms Broader Market: What You Need to Know,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': 'Alphabet (GOOGL) Outperforms Broader Market: What You Need to Know'}",GOOGL,Yahoo Finance,"Alphabet (GOOGL) Outperforms Broader Market: What You Need to Know Alphabet (GOOGL) concluded the recent trading session at $159.07, signifying a +1.23% move from its prior day's close.",2025,4,14,0,185,28,66,10
"Alphabet Inc. (GOOG) concluded the recent trading session at $161.47, signifying a +1.3% move from its prior day's close.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': ""Alphabet Inc. (GOOG) concluded the recent trading session at $161.47, signifying a +1.3% move from its prior day's close.""}",213a0f5d-af58-37b9-82f1-d3445c71069b,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/alphabet-inc-goog-outperforms-broader-214517940.html?.tsrc=rss'}]",https://finance.yahoo.com/news/alphabet-inc-goog-outperforms-broader-214517940.html?.tsrc=rss,2025-04-14 21:45:17,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=21, tm_min=45, tm_sec=17, tm_wday=0, tm_yday=104, tm_isdst=0)",Alphabet Inc. (GOOG) Outperforms Broader Market: What You Need to Know,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': 'Alphabet Inc. (GOOG) Outperforms Broader Market: What You Need to Know'}",GOOGL,Yahoo Finance,"Alphabet Inc. (GOOG) Outperforms Broader Market: What You Need to Know Alphabet Inc. (GOOG) concluded the recent trading session at $161.47, signifying a +1.3% move from its prior day's close.",2025,4,14,0,192,30,70,11
"We recently published a list of 10 Best Bargain Stocks to Buy in May. In this article, we are going to take a look at where Alphabet Inc. (NASDAQ:GOOGL) stands against other best bargain stocks to buy in May. While increasing tariffs and a hard sell-off have resulted in uncertainty, Neuberger Berman, an investment manager, expects […]","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': 'We recently published a list of 10 Best Bargain Stocks to Buy in May. In this article, we are going to take a look at where Alphabet Inc. (NASDAQ:GOOGL) stands against other best bargain stocks to buy in May. While increasing tariffs and a hard sell-off have resulted in uncertainty, Neuberger Berman, an investment manager, expects […]'}",3b9e9b78-f6fe-3037-a2be-7808c5f37180,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/alphabet-inc-googl-best-bargain-192959255.html?.tsrc=rss'}]",https://finance.yahoo.com/news/alphabet-inc-googl-best-bargain-192959255.html?.tsrc=rss,2025-04-14 19:29:59,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=19, tm_min=29, tm_sec=59, tm_wday=0, tm_yday=104, tm_isdst=0)",Is  Alphabet Inc. (GOOGL)the Best Bargain Stock to Buy in May?,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': 'Is  Alphabet Inc.\xa0(GOOGL)the Best Bargain Stock to Buy in May?'}",GOOGL,Yahoo Finance,"Is  Alphabet Inc. (GOOGL)the Best Bargain Stock to Buy in May? We recently published a list of 10 Best Bargain Stocks to Buy in May. In this article, we are going to take a look at where Alphabet Inc. (NASDAQ:GOOGL) stands against other best bargain stocks to buy in May. While increasing tariffs and a hard sell-off have resulted in uncertainty, Neuberger Berman, an investment manager, expects […]",2025,4,14,0,399,68,62,11
Safe Superintelligence is a $32 billion AI startup co-founded by OpenAI's former chief scientist Ilya Sutskever.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': ""Safe Superintelligence is a $32 billion AI startup co-founded by OpenAI's former chief scientist Ilya Sutskever.""}",480d018a-d1ea-32d3-b892-316bf3a0da64,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/report-alphabet-nvidia-bet-big-190025996.html?.tsrc=rss'}]",https://finance.yahoo.com/news/report-alphabet-nvidia-bet-big-190025996.html?.tsrc=rss,2025-04-14 19:00:25,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=19, tm_min=0, tm_sec=25, tm_wday=0, tm_yday=104, tm_isdst=0)",Report: Alphabet and Nvidia Bet Big on OpenAI Co-Founder's New AI Startup Valued at $32 Billion,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': ""Report: Alphabet and Nvidia Bet Big on OpenAI Co-Founder's New AI Startup Valued at $32 Billion""}",GOOGL,Yahoo Finance,Report: Alphabet and Nvidia Bet Big on OpenAI Co-Founder's New AI Startup Valued at $32 Billion Safe Superintelligence is a $32 billion AI startup co-founded by OpenAI's former chief scientist Ilya Sutskever.,2025,4,14,0,208,32,95,16
The Federal Trade Commission alleges that the company engaged in a ‘systematic strategy’ to eliminate competitive threats in the social media space.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': 'The Federal Trade Commission alleges that the company engaged in a ‘systematic strategy’ to eliminate competitive threats in the social media space.'}",5b53d935-c621-336a-8e22-ba583df39709,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/5b53d935-c621-336a-8e22-ba583df39709/meta%E2%80%99s-antitrust-trial-begins.html?.tsrc=rss'}]",https://finance.yahoo.com/m/5b53d935-c621-336a-8e22-ba583df39709/meta%E2%80%99s-antitrust-trial-begins.html?.tsrc=rss,2025-04-14 18:09:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=18, tm_min=9, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)",Meta’s Antitrust Trial Begins Today. Why It’s So Important.,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': 'Meta’s Antitrust Trial Begins Today. Why It’s So Important.'}",GOOGL,Yahoo Finance,Meta’s Antitrust Trial Begins Today. Why It’s So Important. The Federal Trade Commission alleges that the company engaged in a ‘systematic strategy’ to eliminate competitive threats in the social media space.,2025,4,14,0,208,31,59,9
"As the AI arms race heats up, data centers have become one of the most coveted commodities in commercial real estate. Such is the draw that Related Companies, a privately owned real estate behemoth known for mainly building office, retail, and ...","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': 'As the AI arms race heats up, data centers have become one of the most coveted commodities in commercial real estate. Such is the draw that Related Companies, a privately owned real estate behemoth known for mainly building office, retail, and ...'}",c285ce42-fa45-3ec0-878e-6a82f39d1980,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/york-developer-related-looks-raise-173120713.html?.tsrc=rss'}]",https://finance.yahoo.com/news/york-developer-related-looks-raise-173120713.html?.tsrc=rss,2025-04-14 17:31:20,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=17, tm_min=31, tm_sec=20, tm_wday=0, tm_yday=104, tm_isdst=0)",New York Developer Related Looks To Raise $8 Billion For Data Center Investment,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': 'New York Developer Related Looks To Raise $8 Billion For Data Center Investment'}",GOOGL,Yahoo Finance,"New York Developer Related Looks To Raise $8 Billion For Data Center Investment As the AI arms race heats up, data centers have become one of the most coveted commodities in commercial real estate. Such is the draw that Related Companies, a privately owned real estate behemoth known for mainly building office, retail, and ...",2025,4,14,0,327,55,79,13
"Google's AI research lab, Google DeepMind, says that it has created an AI model that can help decipher dolphin vocalizations, supporting research efforts to better understand how dolphins communicate. The model, called DolphinGemma, was trained using data from the Wild Dolphin Project (WDP), a nonprofit that studies Atlantic spotted dolphins and their behaviors. Built on Google's open Gemma series of models, DolphinGemma, which can generate ""dolphin-like"" sound sequences, is efficient enough to","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': 'Google\'s AI research lab, Google DeepMind, says that it has created an AI model that can help decipher dolphin vocalizations, supporting research efforts to better understand how dolphins communicate. The model, called DolphinGemma, was trained using data from the Wild Dolphin Project (WDP), a nonprofit that studies Atlantic spotted dolphins and their behaviors. Built on Google\'s open Gemma series of models, DolphinGemma, which can generate ""dolphin-like"" sound sequences, is efficient enough to'}",2944941e-9261-36cb-8d7f-8f2ec94e1134,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://techcrunch.com/2025/04/14/googles-newest-ai-model-is-designed-to-help-study-dolphin-speech/?.tsrc=rss'}]",https://techcrunch.com/2025/04/14/googles-newest-ai-model-is-designed-to-help-study-dolphin-speech/?.tsrc=rss,2025-04-14 16:26:55,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=16, tm_min=26, tm_sec=55, tm_wday=0, tm_yday=104, tm_isdst=0)",Google's newest AI model is designed to help study dolphin 'speech',"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': ""Google's newest AI model is designed to help study dolphin 'speech'""}",GOOGL,Yahoo Finance,"Google's newest AI model is designed to help study dolphin 'speech' Google's AI research lab, Google DeepMind, says that it has created an AI model that can help decipher dolphin vocalizations, supporting research efforts to better understand how dolphins communicate. The model, called DolphinGemma, was trained using data from the Wild Dolphin Project (WDP), a nonprofit that studies Atlantic spotted dolphins and their behaviors. Built on Google's open Gemma series of models, DolphinGemma, which can generate ""dolphin-like"" sound sequences, is efficient enough to",2025,4,14,0,567,83,67,11
