summary,summary_detail,id,guidislink,links,url,date,published_parsed,title,title_detail,ticker,source,text,Year,Month,Day,Weekday,text_length,word_count,title_length,title_word_count
"Chip maker  Nvidia  unveiled plans Monday to produce new made-in-America supercomputers that power artificial intelligence, just one day after the Trump administration said tariffs were coming for semiconductor-reliant imports.  The chip maker said it would make AI supercomputers with contract manufacturers in Texas, its first public disclosure of a plan that would amplify ongoing U.S. efforts to bring semiconductor production back to domestic markets.  A darling of the global AI boom, Nvidia promised an eye-popping $500 billion in spending in the coming years, an announcement that echoed a similar goal disclosed by  Apple  in February.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'Chip maker  Nvidia  unveiled plans Monday to produce new made-in-America supercomputers that power artificial intelligence, just one day after the Trump administration said tariffs were coming for semiconductor-reliant imports.  The chip maker said it would make AI supercomputers with contract manufacturers in Texas, its first public disclosure of a plan that would amplify ongoing U.S. efforts to bring semiconductor production back to domestic markets.  A darling of the global AI boom, Nvidia promised an eye-popping $500 billion in spending in the coming years, an announcement that echoed a similar goal disclosed by  Apple  in February.'}",bcd86848-f5cd-3aa1-8ff3-dbe5e6f1d84e,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/bcd86848-f5cd-3aa1-8ff3-dbe5e6f1d84e/nvidia%E2%80%99s-made-in-the-u.s.a..html?.tsrc=rss'}]",https://finance.yahoo.com/m/bcd86848-f5cd-3aa1-8ff3-dbe5e6f1d84e/nvidia%E2%80%99s-made-in-the-u.s.a..html?.tsrc=rss,2025-04-14 23:14:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=23, tm_min=14, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)",Nvidia’s Made-in-the-U.S.A. Move Follows a Familiar Trump Pattern,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'Nvidia’s Made-in-the-U.S.A. Move Follows a Familiar Trump Pattern'}",AAPL,Yahoo Finance,"Nvidia’s Made-in-the-U.S.A. Move Follows a Familiar Trump Pattern Chip maker  Nvidia  unveiled plans Monday to produce new made-in-America supercomputers that power artificial intelligence, just one day after the Trump administration said tariffs were coming for semiconductor-reliant imports.  The chip maker said it would make AI supercomputers with contract manufacturers in Texas, its first public disclosure of a plan that would amplify ongoing U.S. efforts to bring semiconductor production back to domestic markets.  A darling of the global AI boom, Nvidia promised an eye-popping $500 billion in spending in the coming years, an announcement that echoed a similar goal disclosed by  Apple  in February.",2025,4,14,0,710,103,65,8
"Apple, Nvidia and other tech company stocks rebounded on Monday, after the Trump administration said tariffs affecting the electronics industry on products like smartphones are coming later.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'Apple, Nvidia and other tech company stocks rebounded on Monday, after the Trump administration said tariffs affecting the electronics industry on products like smartphones are coming later.'}",0d512626-46ed-3d5a-8177-1c7e617dccf0,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/apple-other-tech-stocks-rebound-223137743.html?.tsrc=rss'}]",https://finance.yahoo.com/news/apple-other-tech-stocks-rebound-223137743.html?.tsrc=rss,2025-04-14 22:31:37,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=22, tm_min=31, tm_sec=37, tm_wday=0, tm_yday=104, tm_isdst=0)",Apple and other tech stocks rebound after Trump offers more tariffs guidance,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'Apple and other tech stocks rebound after Trump offers more tariffs guidance'}",AAPL,Yahoo Finance,"Apple and other tech stocks rebound after Trump offers more tariffs guidance Apple, Nvidia and other tech company stocks rebounded on Monday, after the Trump administration said tariffs affecting the electronics industry on products like smartphones are coming later.",2025,4,14,0,267,39,76,12
"Investing.com -- The VIX, or fear index, collapsed 18% on Monday to $30.73. It has been as high as $65.73 in the recent tariff melee.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'Investing.com -- The VIX, or fear index, collapsed 18% on Monday to $30.73. It has been as high as $65.73 in the recent tariff melee.'}",6533338e-3fd5-3aed-b06e-bafc9df7ef6f,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/vix-wall-street-fear-gauge-205353099.html?.tsrc=rss'}]",https://finance.yahoo.com/news/vix-wall-street-fear-gauge-205353099.html?.tsrc=rss,2025-04-14 20:53:53,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=20, tm_min=53, tm_sec=53, tm_wday=0, tm_yday=104, tm_isdst=0)","VIX, Wall Street’s fear gauge, sinks nearly 20% on temporary tech tariff relief","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'VIX, Wall Street’s fear gauge, sinks nearly 20% on temporary tech tariff relief'}",AAPL,Yahoo Finance,"VIX, Wall Street’s fear gauge, sinks nearly 20% on temporary tech tariff relief Investing.com -- The VIX, or fear index, collapsed 18% on Monday to $30.73. It has been as high as $65.73 in the recent tariff melee.",2025,4,14,0,213,38,79,13
"Shares of iPhone and iPad maker Apple (NASDAQ:AAPL) jumped 2.2% in the morning session after reports indicated that smartphones, computers, and a wide range of tech devices and components would be exempt from the reciprocal tariffs on U.S. imports announced on April 2, 2025. The list of spared goods includes chips, solar panels, flat-screen TVs, flash drives, and memory cards.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'Shares of iPhone and iPad maker Apple (NASDAQ:AAPL) jumped 2.2% in the morning session after reports indicated that smartphones, computers, and a wide range of tech devices and components would be exempt from the reciprocal tariffs on U.S. imports announced on April 2, 2025. The list of spared goods includes chips, solar panels, flat-screen TVs, flash drives, and memory cards.'}",d5d3de9d-7a3e-34de-bc38-fe3ea26ed1e4,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/why-apple-aapl-stock-today-205118997.html?.tsrc=rss'}]",https://finance.yahoo.com/news/why-apple-aapl-stock-today-205118997.html?.tsrc=rss,2025-04-14 20:51:18,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=20, tm_min=51, tm_sec=18, tm_wday=0, tm_yday=104, tm_isdst=0)",Why Apple (AAPL) Stock Is Up Today,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'Why Apple (AAPL) Stock Is Up Today'}",AAPL,Yahoo Finance,"Why Apple (AAPL) Stock Is Up Today Shares of iPhone and iPad maker Apple (NASDAQ:AAPL) jumped 2.2% in the morning session after reports indicated that smartphones, computers, and a wide range of tech devices and components would be exempt from the reciprocal tariffs on U.S. imports announced on April 2, 2025. The list of spared goods includes chips, solar panels, flat-screen TVs, flash drives, and memory cards.",2025,4,14,0,414,67,34,7
Here’s what analysts think could be next for Apple stock.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'Here’s what analysts think could be next for Apple stock.'}",6bfed680-d00f-3a5b-bb69-46917ab9120c,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thestreet.com/investing/surprising-china-news-sends-apple-stock-surging?.tsrc=rss'}]",https://www.thestreet.com/investing/surprising-china-news-sends-apple-stock-surging?.tsrc=rss,2025-04-14 20:30:55,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=20, tm_min=30, tm_sec=55, tm_wday=0, tm_yday=104, tm_isdst=0)",Surprising China news sends Apple stock surging,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'Surprising China news sends Apple stock surging'}",AAPL,Yahoo Finance,Surprising China news sends Apple stock surging Here’s what analysts think could be next for Apple stock.,2025,4,14,0,105,17,47,7
"U.S. stocks edged up Monday as investors digested mixed messages on the trade war, following some of the most chaotic and turbulent weeks in recent market memory.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'U.S. stocks edged up Monday as investors digested mixed messages on the trade war, following some of the most chaotic and turbulent weeks in recent market memory.'}",afb318d2-6e15-3f92-ab0f-e27044419bdf,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/stocks-rise-apple-jumps-goldman-121600681.html?.tsrc=rss'}]",https://finance.yahoo.com/news/stocks-rise-apple-jumps-goldman-121600681.html?.tsrc=rss,2025-04-14 20:30:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=20, tm_min=30, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)","The Dow and S&P 500 rise slightly, but tariff and recession fears linger","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'The Dow and S&P 500 rise slightly, but tariff and recession fears linger'}",AAPL,Yahoo Finance,"The Dow and S&P 500 rise slightly, but tariff and recession fears linger U.S. stocks edged up Monday as investors digested mixed messages on the trade war, following some of the most chaotic and turbulent weeks in recent market memory.",2025,4,14,0,235,40,72,13
The Dow Jones rose on the stock market today and auto stocks popped after President Donald Trump spoke out. Palantir stock was higher while Nvidia fell.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'The Dow Jones rose on the stock market today and auto stocks popped after President Donald Trump spoke out. Palantir stock was higher while Nvidia fell.'}",340f364a-fa47-30cc-9c19-b947b2bb27cd,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/340f364a-fa47-30cc-9c19-b947b2bb27cd/stock-market-today%3A-dow-jones.html?.tsrc=rss'}]",https://finance.yahoo.com/m/340f364a-fa47-30cc-9c19-b947b2bb27cd/stock-market-today%3A-dow-jones.html?.tsrc=rss,2025-04-14 20:27:18,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=20, tm_min=27, tm_sec=18, tm_wday=0, tm_yday=104, tm_isdst=0)",Stock Market Today: Dow Jones Up As Fed's Waller Says This On Rate Cuts; Trump Wants To 'Help' Autos But Tesla Lags (Live Coverage),"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': ""Stock Market Today: Dow Jones Up As Fed's Waller Says This On Rate Cuts; Trump Wants To 'Help' Autos But Tesla Lags (Live Coverage)""}",AAPL,Yahoo Finance,Stock Market Today: Dow Jones Up As Fed's Waller Says This On Rate Cuts; Trump Wants To 'Help' Autos But Tesla Lags (Live Coverage) The Dow Jones rose on the stock market today and auto stocks popped after President Donald Trump spoke out. Palantir stock was higher while Nvidia fell.,2025,4,14,0,284,50,131,24
"Tariff uncertainty will cause chaos in the supply chain, says Wedbush’s Dan Ives.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'Tariff uncertainty will cause chaos in the supply chain, says Wedbush’s Dan Ives.'}",caf8e748-9eee-300c-a716-691102841567,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/apple-fans-won-t-stay-202605693.html?.tsrc=rss'}]",https://finance.yahoo.com/news/apple-fans-won-t-stay-202605693.html?.tsrc=rss,2025-04-14 20:26:05,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=20, tm_min=26, tm_sec=5, tm_wday=0, tm_yday=104, tm_isdst=0)","Apple fans won’t stay loyal if tariffs mean $2,000 iPhones, top analyst warns","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'Apple fans won’t stay loyal if tariffs mean $2,000 iPhones, top analyst warns'}",AAPL,Yahoo Finance,"Apple fans won’t stay loyal if tariffs mean $2,000 iPhones, top analyst warns Tariff uncertainty will cause chaos in the supply chain, says Wedbush’s Dan Ives.",2025,4,14,0,159,26,77,13
"Apple stock was upgraded by KeyBanc after smartphones, computers, and other electronics were exempted from President Donald Trump's ""reciprocal"" tariffs.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'Apple stock was upgraded by KeyBanc after smartphones, computers, and other electronics were exempted from President Donald Trump\'s ""reciprocal"" tariffs.'}",da6c7e76-ff7a-34d4-a29e-11c944d19e94,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.investopedia.com/apple-stock-gets-an-upgrade-from-keybanc-on-tech-tariff-exemptions-11714926?.tsrc=rss'}]",https://www.investopedia.com/apple-stock-gets-an-upgrade-from-keybanc-on-tech-tariff-exemptions-11714926?.tsrc=rss,2025-04-14 20:19:48,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=20, tm_min=19, tm_sec=48, tm_wday=0, tm_yday=104, tm_isdst=0)",Apple Stock Gets an Upgrade From KeyBanc on Tech Tariff Exemptions,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'Apple Stock Gets an Upgrade From KeyBanc on Tech Tariff Exemptions'}",AAPL,Yahoo Finance,"Apple Stock Gets an Upgrade From KeyBanc on Tech Tariff Exemptions Apple stock was upgraded by KeyBanc after smartphones, computers, and other electronics were exempted from President Donald Trump's ""reciprocal"" tariffs.",2025,4,14,0,220,31,66,11
"IDC's Ryan Reith joins to discuss the latest tariff confusion and impact on tech manufacturers, saying he's skeptical of a quick shift to manufacturing in the US. He joins Ed Ludlow on ""Bloomberg Technology"".","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'IDC\'s Ryan Reith joins to discuss the latest tariff confusion and impact on tech manufacturers, saying he\'s skeptical of a quick shift to manufacturing in the US. He joins Ed Ludlow on ""Bloomberg Technology"".'}",0787f73b-edc2-31de-85be-e38aa43f6d59,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/video/trump-tariff-confusion-whipsaws-tech-200747547.html?.tsrc=rss'}]",https://finance.yahoo.com/video/trump-tariff-confusion-whipsaws-tech-200747547.html?.tsrc=rss,2025-04-14 20:07:47,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=20, tm_min=7, tm_sec=47, tm_wday=0, tm_yday=104, tm_isdst=0)",Trump Tariff Confusion Whipsaws Tech,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'Trump Tariff Confusion Whipsaws Tech'}",AAPL,Yahoo Finance,"Trump Tariff Confusion Whipsaws Tech IDC's Ryan Reith joins to discuss the latest tariff confusion and impact on tech manufacturers, saying he's skeptical of a quick shift to manufacturing in the US. He joins Ed Ludlow on ""Bloomberg Technology"".",2025,4,14,0,245,39,36,5
