summary,summary_detail,id,guidislink,links,url,date,published_parsed,title,title_detail,ticker,source,text,Year,Month,Day,Weekday,text_length,word_count,title_length,title_word_count
"Today's Research Daily features new research reports on 16 major stocks, including Bank of America Corporation (BAC), Chevron Corporation (CVX) and Stryker Corporation (SYK), as well as two micro-cap stocks Value Line, Inc. (VALU) and Sypris Solutions, Inc. (SYPR).","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CVX&region=US&lang=en-US', 'value': ""Today's Research Daily features new research reports on 16 major stocks, including Bank of America Corporation (BAC), Chevron Corporation (CVX) and Stryker Corporation (SYK), as well as two micro-cap stocks Value Line, Inc. (VALU) and Sypris Solutions, Inc. (SYPR).""}",37f5738b-07b3-30fa-a06f-536929356258,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/top-analyst-reports-bank-america-211500618.html?.tsrc=rss'}]",https://finance.yahoo.com/news/top-analyst-reports-bank-america-211500618.html?.tsrc=rss,2025-04-14 21:15:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=21, tm_min=15, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)","Top Analyst Reports for Bank of America, Chevron & Stryker","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CVX&region=US&lang=en-US', 'value': 'Top Analyst Reports for Bank of America, Chevron & Stryker'}",CVX,Yahoo Finance,"Top Analyst Reports for Bank of America, Chevron & Stryker Today's Research Daily features new research reports on 16 major stocks, including Bank of America Corporation (BAC), Chevron Corporation (CVX) and Stryker Corporation (SYK), as well as two micro-cap stocks Value Line, Inc. (VALU) and Sypris Solutions, Inc. (SYPR).",2025,4,14,0,324,49,58,10
"Chevron (CVX) is expected to report ""strong underlying results"" in fiscal Q1 even though divestiture","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CVX&region=US&lang=en-US', 'value': 'Chevron (CVX) is expected to report ""strong underlying results"" in fiscal Q1 even though divestiture'}",e77d814a-c829-3aab-90f2-fb348c1fe7c8,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/chevron-expected-post-apos-strong-190725111.html?.tsrc=rss'}]",https://finance.yahoo.com/news/chevron-expected-post-apos-strong-190725111.html?.tsrc=rss,2025-04-14 19:07:25,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=19, tm_min=7, tm_sec=25, tm_wday=0, tm_yday=104, tm_isdst=0)","Chevron Expected to Post 'Strong' Underlying Results in Q1, UBS Says","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CVX&region=US&lang=en-US', 'value': ""Chevron Expected to Post 'Strong' Underlying Results in Q1, UBS Says""}",CVX,Yahoo Finance,"Chevron Expected to Post 'Strong' Underlying Results in Q1, UBS Says Chevron (CVX) is expected to report ""strong underlying results"" in fiscal Q1 even though divestiture",2025,4,14,0,169,26,68,11
"Despite weaker demand, OPEC+ plans to boost output, adding to oil price pressure amid broad economic uncertainty","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CVX&region=US&lang=en-US', 'value': 'Despite weaker demand, OPEC+ plans to boost output, adding to oil price pressure amid broad economic uncertainty'}",660f8cb5-3be6-33eb-a123-4f7575030f65,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/opec-slashes-oil-demand-forecast-185052793.html?.tsrc=rss'}]",https://finance.yahoo.com/news/opec-slashes-oil-demand-forecast-185052793.html?.tsrc=rss,2025-04-14 18:50:52,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=18, tm_min=50, tm_sec=52, tm_wday=0, tm_yday=104, tm_isdst=0)",OPEC+ Slashes Oil Demand Forecast as Trade War Drags on Growth,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CVX&region=US&lang=en-US', 'value': 'OPEC+ Slashes Oil Demand Forecast as Trade War Drags on Growth'}",CVX,Yahoo Finance,"OPEC+ Slashes Oil Demand Forecast as Trade War Drags on Growth Despite weaker demand, OPEC+ plans to boost output, adding to oil price pressure amid broad economic uncertainty",2025,4,14,0,175,28,62,11
"Let's take a look at the two best-performing Dow Jones Industrial Average (DJINDICES: ^DJI) companies to see if they're worth buying today.  UnitedHealth Group (NYSE: UNH) is one of the most resilient stocks on the market.  There was no major company-specific news out on UnitedHealth in March, and investors seem to be returning to the stock after it tumbled following the assassination of one of its executives in December 2024.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CVX&region=US&lang=en-US', 'value': ""Let's take a look at the two best-performing Dow Jones Industrial Average (DJINDICES: ^DJI) companies to see if they're worth buying today.  UnitedHealth Group (NYSE: UNH) is one of the most resilient stocks on the market.  There was no major company-specific news out on UnitedHealth in March, and investors seem to be returning to the stock after it tumbled following the assassination of one of its executives in December 2024.""}",5d15b309-3b03-31b8-b3cd-d6e5068e51b8,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.fool.com/investing/2025/04/14/these-were-the-2-top-performing-stocks-in-the-dow/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=5608733a-69bb-438d-976d-0de9dcfd2f6a&.tsrc=rss'}]",https://www.fool.com/investing/2025/04/14/these-were-the-2-top-performing-stocks-in-the-dow/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=5608733a-69bb-438d-976d-0de9dcfd2f6a&.tsrc=rss,2025-04-14 13:16:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=13, tm_min=16, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)",These Were the 2 Top-Performing Stocks in the Dow Jones Industrial Average in March 2025,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CVX&region=US&lang=en-US', 'value': 'These Were the 2 Top-Performing Stocks in the Dow Jones Industrial Average in March 2025'}",CVX,Yahoo Finance,"These Were the 2 Top-Performing Stocks in the Dow Jones Industrial Average in March 2025 Let's take a look at the two best-performing Dow Jones Industrial Average (DJINDICES: ^DJI) companies to see if they're worth buying today.  UnitedHealth Group (NYSE: UNH) is one of the most resilient stocks on the market.  There was no major company-specific news out on UnitedHealth in March, and investors seem to be returning to the stock after it tumbled following the assassination of one of its executives in December 2024.",2025,4,14,0,519,85,88,15
CVX's Venezuelan oil shipments halted by PDVSA amid payment uncertainty due to U.S. sanctions derails its plans to export oil.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CVX&region=US&lang=en-US', 'value': ""CVX's Venezuelan oil shipments halted by PDVSA amid payment uncertainty due to U.S. sanctions derails its plans to export oil.""}",4ac93bc1-c215-3de2-9229-f08ff6a71e29,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/chevrons-venezuela-oil-exports-stalled-114400347.html?.tsrc=rss'}]",https://finance.yahoo.com/news/chevrons-venezuela-oil-exports-stalled-114400347.html?.tsrc=rss,2025-04-14 11:44:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=11, tm_min=44, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)",Chevron's Venezuela Oil Exports Stalled by PDVSA Amid Sanctions,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CVX&region=US&lang=en-US', 'value': ""Chevron's Venezuela Oil Exports Stalled by PDVSA Amid Sanctions""}",CVX,Yahoo Finance,Chevron's Venezuela Oil Exports Stalled by PDVSA Amid Sanctions CVX's Venezuelan oil shipments halted by PDVSA amid payment uncertainty due to U.S. sanctions derails its plans to export oil.,2025,4,14,0,190,29,63,9
"Initial data shows high-quality reservoirs and a potentially commercial volume of hydrocarbons, the company said.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CVX&region=US&lang=en-US', 'value': 'Initial data shows high-quality reservoirs and a potentially commercial volume of hydrocarbons, the company said.'}",debcd50b-6682-3d76-a2e2-588b8ddc8e05,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/debcd50b-6682-3d76-a2e2-588b8ddc8e05/bp-discovers-oil-at-u.s.-far.html?.tsrc=rss'}]",https://finance.yahoo.com/m/debcd50b-6682-3d76-a2e2-588b8ddc8e05/bp-discovers-oil-at-u.s.-far.html?.tsrc=rss,2025-04-14 08:47:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=8, tm_min=47, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)",BP Discovers Oil at U.S. Far South Prospect in Gulf of Mexico,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CVX&region=US&lang=en-US', 'value': 'BP Discovers Oil at U.S. Far South Prospect in Gulf of Mexico'}",CVX,Yahoo Finance,"BP Discovers Oil at U.S. Far South Prospect in Gulf of Mexico Initial data shows high-quality reservoirs and a potentially commercial volume of hydrocarbons, the company said.",2025,4,14,0,175,27,61,12
"Exxon Mobil, Chevron and EOG Resources have been highlighted in this Value Trader article.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CVX&region=US&lang=en-US', 'value': 'Exxon Mobil, Chevron and EOG Resources have been highlighted in this Value Trader article.'}",2e22a08d-2b24-30c5-8875-2c4ca8ec72f5,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/zacks-value-trader-highlights-exxon-071400262.html?.tsrc=rss'}]",https://finance.yahoo.com/news/zacks-value-trader-highlights-exxon-071400262.html?.tsrc=rss,2025-04-14 07:14:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=7, tm_min=14, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)","Zacks Value Trader Highlights: Exxon Mobil, Chevron and EOG Resources","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CVX&region=US&lang=en-US', 'value': 'Zacks Value Trader Highlights: Exxon Mobil, Chevron and EOG Resources'}",CVX,Yahoo Finance,"Zacks Value Trader Highlights: Exxon Mobil, Chevron and EOG Resources Exxon Mobil, Chevron and EOG Resources have been highlighted in this Value Trader article.",2025,4,14,0,160,24,69,10
The stock market has sold off hard this year.  The silver lining to stock market sell-offs is that they enable investors to buy high-quality dividend stocks while they're on sale.  One that I added to during the sell-off was Chevron (NYSE: CVX).,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CVX&region=US&lang=en-US', 'value': ""The stock market has sold off hard this year.  The silver lining to stock market sell-offs is that they enable investors to buy high-quality dividend stocks while they're on sale.  One that I added to during the sell-off was Chevron (NYSE: CVX).""}",04d048a3-6eac-3f03-8bee-319ab259c9d6,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.fool.com/investing/2025/04/12/bought-warren-buffett-dividend-stock-selloff/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=65f76402-8b43-434b-bf55-111547fdb9e5&.tsrc=rss'}]",https://www.fool.com/investing/2025/04/12/bought-warren-buffett-dividend-stock-selloff/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=65f76402-8b43-434b-bf55-111547fdb9e5&.tsrc=rss,2025-04-12 07:28:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=12, tm_hour=7, tm_min=28, tm_sec=0, tm_wday=5, tm_yday=102, tm_isdst=0)",Why I Bought More of This Top Warren Buffett Dividend Stock During the Recent Stock Market Sell-Off,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CVX&region=US&lang=en-US', 'value': 'Why I Bought More of This Top Warren Buffett Dividend Stock During the Recent Stock Market Sell-Off'}",CVX,Yahoo Finance,Why I Bought More of This Top Warren Buffett Dividend Stock During the Recent Stock Market Sell-Off The stock market has sold off hard this year.  The silver lining to stock market sell-offs is that they enable investors to buy high-quality dividend stocks while they're on sale.  One that I added to during the sell-off was Chevron (NYSE: CVX).,2025,4,12,5,345,59,99,17
"Chevron (CVX) closed at $135.63 in the latest trading session, marking a +0.48% move from the prior day.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CVX&region=US&lang=en-US', 'value': 'Chevron (CVX) closed at $135.63 in the latest trading session, marking a +0.48% move from the prior day.'}",9b997e7b-4184-3a31-9f61-0bc01481336b,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/chevron-cvx-ascends-remains-behind-214516754.html?.tsrc=rss'}]",https://finance.yahoo.com/news/chevron-cvx-ascends-remains-behind-214516754.html?.tsrc=rss,2025-04-11 21:45:16,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=11, tm_hour=21, tm_min=45, tm_sec=16, tm_wday=4, tm_yday=101, tm_isdst=0)",Chevron (CVX) Ascends But Remains Behind Market: Some Facts to Note,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CVX&region=US&lang=en-US', 'value': 'Chevron (CVX) Ascends But Remains Behind Market: Some Facts to Note'}",CVX,Yahoo Finance,"Chevron (CVX) Ascends But Remains Behind Market: Some Facts to Note Chevron (CVX) closed at $135.63 in the latest trading session, marking a +0.48% move from the prior day.",2025,4,11,4,172,29,67,11
"Analyst sees EOG better positioned amid market uncertainty, while leverage and payout concerns weigh on peers","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CVX&region=US&lang=en-US', 'value': 'Analyst sees EOG better positioned amid market uncertainty, while leverage and payout concerns weigh on peers'}",420a0583-cdad-3888-849b-20d618f2d695,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/scotiabank-cuts-chevron-occidental-debt-213052438.html?.tsrc=rss'}]",https://finance.yahoo.com/news/scotiabank-cuts-chevron-occidental-debt-213052438.html?.tsrc=rss,2025-04-11 21:30:52,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=11, tm_hour=21, tm_min=30, tm_sec=52, tm_wday=4, tm_yday=101, tm_isdst=0)","Scotiabank Cuts Chevron, Occidental as Debt and Capital Return Plans Raise Red Flags","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CVX&region=US&lang=en-US', 'value': 'Scotiabank Cuts Chevron, Occidental as Debt and Capital Return Plans Raise Red Flags'}",CVX,Yahoo Finance,"Scotiabank Cuts Chevron, Occidental as Debt and Capital Return Plans Raise Red Flags Analyst sees EOG better positioned amid market uncertainty, while leverage and payout concerns weigh on peers",2025,4,11,4,194,29,84,13
"Scotiabank downgraded Occidental Petroleum (OXY) and Chevron (CVX) to Sector Perform from Sector Outperform. Market Domination hosts Josh Lipton and Julie Hyman discuss the latest news, highlighting concerns over Occidental's leveraged position following its Crown Rock acquisition and potential buyback reductions at Chevron. To watch more expert insights and analysis on the latest market action, check out more Market Domination here.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CVX&region=US&lang=en-US', 'value': ""Scotiabank downgraded Occidental Petroleum (OXY) and Chevron (CVX) to Sector Perform from Sector Outperform. Market Domination hosts Josh Lipton and Julie Hyman discuss the latest news, highlighting concerns over Occidental's leveraged position following its Crown Rock acquisition and potential buyback reductions at Chevron. To watch more expert insights and analysis on the latest market action, check out more Market Domination\xa0here.""}",a296096f-954b-3769-8289-2e8f058766cd,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/video/chevron-occidental-downgraded-amid-oil-210015472.html?.tsrc=rss'}]",https://finance.yahoo.com/video/chevron-occidental-downgraded-amid-oil-210015472.html?.tsrc=rss,2025-04-11 21:00:15,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=11, tm_hour=21, tm_min=0, tm_sec=15, tm_wday=4, tm_yday=101, tm_isdst=0)","Chevron, Occidental downgraded amid oil price concerns","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CVX&region=US&lang=en-US', 'value': 'Chevron, Occidental downgraded amid oil price concerns'}",CVX,Yahoo Finance,"Chevron, Occidental downgraded amid oil price concerns Scotiabank downgraded Occidental Petroleum (OXY) and Chevron (CVX) to Sector Perform from Sector Outperform. Market Domination hosts Josh Lipton and Julie Hyman discuss the latest news, highlighting concerns over Occidental's leveraged position following its Crown Rock acquisition and potential buyback reductions at Chevron. To watch more expert insights and analysis on the latest market action, check out more Market Domination here.",2025,4,11,4,492,68,54,7
"We recently published a list of Jim Cramer Recently Talked About These 9 Stocks. In this article, we are going to take a look at where Chevron Corporation (NYSE:CVX) stands against other stocks that Jim Cramer discussed recently. On Wednesday, Jim Cramer, the host of Mad Money, shared his thoughts on the market turmoil of […]","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CVX&region=US&lang=en-US', 'value': 'We recently published a list of Jim Cramer Recently Talked About These 9 Stocks. In this article, we are going to take a look at where Chevron Corporation (NYSE:CVX) stands against other stocks that Jim Cramer discussed recently. On Wednesday, Jim Cramer, the host of Mad Money, shared his thoughts on the market turmoil of […]'}",8ec2085a-71e5-3fa7-9904-0ab78a608800,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/jim-cramer-chevron-cvx-chevron-163400890.html?.tsrc=rss'}]",https://finance.yahoo.com/news/jim-cramer-chevron-cvx-chevron-163400890.html?.tsrc=rss,2025-04-11 16:34:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=11, tm_hour=16, tm_min=34, tm_sec=0, tm_wday=4, tm_yday=101, tm_isdst=0)",Jim Cramer on Chevron (CVX): I Like Chevron,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CVX&region=US&lang=en-US', 'value': 'Jim Cramer on Chevron (CVX): I Like Chevron'}",CVX,Yahoo Finance,"Jim Cramer on Chevron (CVX): I Like Chevron We recently published a list of Jim Cramer Recently Talked About These 9 Stocks. In this article, we are going to take a look at where Chevron Corporation (NYSE:CVX) stands against other stocks that Jim Cramer discussed recently. On Wednesday, Jim Cramer, the host of Mad Money, shared his thoughts on the market turmoil of […]",2025,4,11,4,371,64,43,8
