summary,summary_detail,id,guidislink,links,url,date,published_parsed,title,title_detail,ticker,source,text,Year,Month,Day,Weekday,text_length,word_count,title_length,title_word_count
"Oil prices have tumbled this year.  Lower crude prices will impact oil company cash flows.  Three oil companies that can still thrive in the current environment are Devon Energy (NYSE: DVN), ConocoPhillips (NYSE: COP), and Chevron (NYSE: CVX).","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=COP&region=US&lang=en-US', 'value': 'Oil prices have tumbled this year.  Lower crude prices will impact oil company cash flows.  Three oil companies that can still thrive in the current environment are Devon Energy (NYSE: DVN), ConocoPhillips (NYSE: COP), and Chevron (NYSE: CVX).'}",05454c6e-3eb0-3ae3-aa2a-0ed43859fe8c,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.fool.com/investing/2025/04/15/these-oil-stocks-can-thrive-even-with-crude-prices/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=7d59963c-b4dc-4956-8b7f-004bba320292&.tsrc=rss'}]",https://www.fool.com/investing/2025/04/15/these-oil-stocks-can-thrive-even-with-crude-prices/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=7d59963c-b4dc-4956-8b7f-004bba320292&.tsrc=rss,2025-04-15 08:14:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=15, tm_hour=8, tm_min=14, tm_sec=0, tm_wday=1, tm_yday=105, tm_isdst=0)",These Oil Stocks Can Thrive Even With Crude Prices Sinking,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=COP&region=US&lang=en-US', 'value': 'These Oil Stocks Can Thrive Even With Crude Prices Sinking'}",COP,Yahoo Finance,"These Oil Stocks Can Thrive Even With Crude Prices Sinking Oil prices have tumbled this year.  Lower crude prices will impact oil company cash flows.  Three oil companies that can still thrive in the current environment are Devon Energy (NYSE: DVN), ConocoPhillips (NYSE: COP), and Chevron (NYSE: CVX).",2025,4,15,1,302,48,58,10
"ConocoPhillips (COP) closed at $86.45 in the latest trading session, marking a +0.07% move from the prior day.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=COP&region=US&lang=en-US', 'value': 'ConocoPhillips (COP) closed at $86.45 in the latest trading session, marking a +0.07% move from the prior day.'}",d42fcf66-df71-3ea6-9a1f-ef377b1f3065,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/conocophillips-cop-ascends-remains-behind-221516580.html?.tsrc=rss'}]",https://finance.yahoo.com/news/conocophillips-cop-ascends-remains-behind-221516580.html?.tsrc=rss,2025-04-14 22:15:16,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=22, tm_min=15, tm_sec=16, tm_wday=0, tm_yday=104, tm_isdst=0)",ConocoPhillips (COP) Ascends But Remains Behind Market: Some Facts to Note,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=COP&region=US&lang=en-US', 'value': 'ConocoPhillips (COP) Ascends But Remains Behind Market: Some Facts to Note'}",COP,Yahoo Finance,"ConocoPhillips (COP) Ascends But Remains Behind Market: Some Facts to Note ConocoPhillips (COP) closed at $86.45 in the latest trading session, marking a +0.07% move from the prior day.",2025,4,14,0,185,29,74,11
"The focus of the programme is to explore viable natural gas reserves in the Otway Basin, with COPA and 3D Energi key players in the venture.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=COP&region=US&lang=en-US', 'value': 'The focus of the programme is to explore viable natural gas reserves in the Otway Basin, with COPA and 3D Energi key players in the venture.'}",dd4de06d-311c-337f-8d6f-090939662c05,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.offshore-technology.com/news/transocean-equinox-rig-otway-basin-exploration/?.tsrc=rss'}]",https://www.offshore-technology.com/news/transocean-equinox-rig-otway-basin-exploration/?.tsrc=rss,2025-04-11 14:50:54,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=11, tm_hour=14, tm_min=50, tm_sec=54, tm_wday=4, tm_yday=101, tm_isdst=0)",Transocean Equinox rig arrives to embark on Otway Basin exploration,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=COP&region=US&lang=en-US', 'value': 'Transocean Equinox rig arrives to embark on Otway Basin exploration'}",COP,Yahoo Finance,"Transocean Equinox rig arrives to embark on Otway Basin exploration The focus of the programme is to explore viable natural gas reserves in the Otway Basin, with COPA and 3D Energi key players in the venture.",2025,4,11,4,208,36,67,10
"Oil prices (CL=F, BZ=F) are down double digits since the start of 2025 as US President Trump's trade war fuels worries about the global economy. Tortoise senior portfolio manager and managing director Rob Thummel sits down with Madison Mills and Wolfe Research chief economist Stephanie Roth to examine the oil market and what it signals about the global economy. To watch more expert insights and analysis on the latest market action, check out more Catalysts here.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=COP&region=US&lang=en-US', 'value': ""Oil prices (CL=F, BZ=F) are down double digits since the start of 2025 as US President Trump's trade war fuels worries about the global economy. Tortoise senior portfolio manager and managing director Rob Thummel sits down with Madison Mills and Wolfe Research chief economist Stephanie Roth to examine the oil market and what it signals about the global economy. To watch more expert insights and analysis on the latest market action, check out more Catalysts here.""}",0eba32c0-6cad-37da-bbfc-f016b24629f0,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/video/falling-oil-prices-mean-economy-100040789.html?.tsrc=rss'}]",https://finance.yahoo.com/video/falling-oil-prices-mean-economy-100040789.html?.tsrc=rss,2025-04-11 10:00:40,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=11, tm_hour=10, tm_min=0, tm_sec=40, tm_wday=4, tm_yday=101, tm_isdst=0)",What falling oil prices mean for the economy,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=COP&region=US&lang=en-US', 'value': 'What falling oil prices mean for the economy'}",COP,Yahoo Finance,"What falling oil prices mean for the economy Oil prices (CL=F, BZ=F) are down double digits since the start of 2025 as US President Trump's trade war fuels worries about the global economy. Tortoise senior portfolio manager and managing director Rob Thummel sits down with Madison Mills and Wolfe Research chief economist Stephanie Roth to examine the oil market and what it signals about the global economy. To watch more expert insights and analysis on the latest market action, check out more Catalysts here.",2025,4,11,4,511,84,44,8
ConocoPhillips (COP) was a big mover last session on higher-than-average trading volume. The latest trend in earnings estimate revisions might not help the stock continue moving higher in the near term.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=COP&region=US&lang=en-US', 'value': 'ConocoPhillips (COP) was a big mover last session on higher-than-average trading volume. The latest trend in earnings estimate revisions might not help the stock continue moving higher in the near term.'}",659e5002-91e9-3ae8-b96c-94e4cf28932a,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/conocophillips-cop-surges-10-7-140500237.html?.tsrc=rss'}]",https://finance.yahoo.com/news/conocophillips-cop-surges-10-7-140500237.html?.tsrc=rss,2025-04-10 14:05:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=10, tm_hour=14, tm_min=5, tm_sec=0, tm_wday=3, tm_yday=100, tm_isdst=0)",ConocoPhillips (COP) Surges 10.7%: Is This an Indication of Further Gains?,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=COP&region=US&lang=en-US', 'value': 'ConocoPhillips (COP) Surges 10.7%: Is This an Indication of Further Gains?'}",COP,Yahoo Finance,ConocoPhillips (COP) Surges 10.7%: Is This an Indication of Further Gains? ConocoPhillips (COP) was a big mover last session on higher-than-average trading volume. The latest trend in earnings estimate revisions might not help the stock continue moving higher in the near term.,2025,4,10,3,277,42,74,11
"ConocoPhillips, Occidental Petroleum, National Fuel Gas and Epsilon Energy have been highlighted in this Industry Outlook article.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=COP&region=US&lang=en-US', 'value': 'ConocoPhillips, Occidental Petroleum, National Fuel Gas and Epsilon Energy have been highlighted in this Industry Outlook article.'}",bb7c295b-2a07-314d-bf22-684dbeb26d30,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/zacks-industry-outlook-highlights-conocophillips-090000882.html?.tsrc=rss'}]",https://finance.yahoo.com/news/zacks-industry-outlook-highlights-conocophillips-090000882.html?.tsrc=rss,2025-04-10 09:00:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=10, tm_hour=9, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=100, tm_isdst=0)","Zacks Industry Outlook Highlights ConocoPhillips, Occidental Petroleum, National Fuel Gas and Epsilon Energy","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=COP&region=US&lang=en-US', 'value': 'Zacks Industry Outlook Highlights ConocoPhillips, Occidental Petroleum, National Fuel Gas and Epsilon Energy'}",COP,Yahoo Finance,"Zacks Industry Outlook Highlights ConocoPhillips, Occidental Petroleum, National Fuel Gas and Epsilon Energy ConocoPhillips, Occidental Petroleum, National Fuel Gas and Epsilon Energy have been highlighted in this Industry Outlook article.",2025,4,10,3,239,30,108,13
"It holds 100 of the top high-yielding dividend stocks, focusing on companies with high-quality payouts.  As a result, the fund now has a yield of over 4% based on its latest dividend payment, well above the 1.5% dividend yield of the S&amp;P 500.  The Schwab U.S. Dividend Equity ETF is a passively managed fund that tracks the Dow Jones U.S. Dividend 100 Index.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=COP&region=US&lang=en-US', 'value': 'It holds 100 of the top high-yielding dividend stocks, focusing on companies with high-quality payouts.  As a result, the fund now has a yield of over 4% based on its latest dividend payment, well above the 1.5% dividend yield of the S&amp;P 500.  The Schwab U.S. Dividend Equity ETF is a passively managed fund that tracks the Dow Jones U.S. Dividend 100 Index.'}",05b4d006-f002-320d-aa3a-3cd8dad9e471,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.fool.com/investing/2025/04/10/why-this-top-dividend-etfs-13-decline-made-it-a-mu/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=0702d8db-cbe7-4a63-9a21-2ec21224e1ab&.tsrc=rss'}]",https://www.fool.com/investing/2025/04/10/why-this-top-dividend-etfs-13-decline-made-it-a-mu/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=0702d8db-cbe7-4a63-9a21-2ec21224e1ab&.tsrc=rss,2025-04-10 08:27:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=10, tm_hour=8, tm_min=27, tm_sec=0, tm_wday=3, tm_yday=100, tm_isdst=0)",Why This Top Dividend ETF's 13% Decline Made it a Must-Buy for My Retirement Account,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=COP&region=US&lang=en-US', 'value': ""Why This Top Dividend ETF's 13% Decline Made it a Must-Buy for My Retirement Account""}",COP,Yahoo Finance,"Why This Top Dividend ETF's 13% Decline Made it a Must-Buy for My Retirement Account It holds 100 of the top high-yielding dividend stocks, focusing on companies with high-quality payouts.  As a result, the fund now has a yield of over 4% based on its latest dividend payment, well above the 1.5% dividend yield of the S&amp;P 500.  The Schwab U.S. Dividend Equity ETF is a passively managed fund that tracks the Dow Jones U.S. Dividend 100 Index.",2025,4,10,3,447,78,84,15
"We recently published a list of the 10 High Growth Dividend Paying Stocks to Invest in. In this article, we are going to take a look at where ConocoPhillips (NYSE:COP) stands against other profitable dividend stocks. Amid growing concerns about economic growth and President Trump’s tariffs, investors have been seeking safer investment options. In this […]","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=COP&region=US&lang=en-US', 'value': 'We recently published a list of the 10 High Growth Dividend Paying Stocks to Invest in. In this article, we are going to take a look at where ConocoPhillips (NYSE:COP) stands against other profitable dividend stocks. Amid growing concerns about economic growth and President Trump’s tariffs, investors have been seeking safer investment options. In this […]'}",f77a378e-0974-35a9-be51-3e2d2bfa32a6,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/conocophillips-cop-among-high-growth-201836773.html?.tsrc=rss'}]",https://finance.yahoo.com/news/conocophillips-cop-among-high-growth-201836773.html?.tsrc=rss,2025-04-09 20:18:36,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=9, tm_hour=20, tm_min=18, tm_sec=36, tm_wday=2, tm_yday=99, tm_isdst=0)",ConocoPhillips (COP): Among the High Growth Dividend Paying Stocks to Invest in,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=COP&region=US&lang=en-US', 'value': 'ConocoPhillips (COP): Among the High Growth Dividend Paying Stocks to Invest in'}",COP,Yahoo Finance,"ConocoPhillips (COP): Among the High Growth Dividend Paying Stocks to Invest in We recently published a list of the 10 High Growth Dividend Paying Stocks to Invest in. In this article, we are going to take a look at where ConocoPhillips (NYSE:COP) stands against other profitable dividend stocks. Amid growing concerns about economic growth and President Trump’s tariffs, investors have been seeking safer investment options. In this […]",2025,4,9,2,437,68,79,12
Both EOG Resources and ConocoPhillips can lean on their strong balance sheet during uncertain times.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=COP&region=US&lang=en-US', 'value': 'Both EOG Resources and ConocoPhillips can lean on their strong balance sheet during uncertain times.'}",8e3eeae6-8d8e-3675-b39d-dc8a1cda3a3e,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/eog-cop-weather-tariff-induced-125800132.html?.tsrc=rss'}]",https://finance.yahoo.com/news/eog-cop-weather-tariff-induced-125800132.html?.tsrc=rss,2025-04-09 12:58:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=9, tm_hour=12, tm_min=58, tm_sec=0, tm_wday=2, tm_yday=99, tm_isdst=0)",Can EOG & COP Weather the Tariff-Induced Market Uncertainty?,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=COP&region=US&lang=en-US', 'value': 'Can EOG & COP Weather the Tariff-Induced Market Uncertainty?'}",COP,Yahoo Finance,Can EOG & COP Weather the Tariff-Induced Market Uncertainty? Both EOG Resources and ConocoPhillips can lean on their strong balance sheet during uncertain times.,2025,4,9,2,161,24,60,9
ConocoPhillips (COP) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=COP&region=US&lang=en-US', 'value': 'ConocoPhillips (COP) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.'}",7ab19078-61a0-3d21-9d6a-d0b69cfc9f12,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/conocophillips-cop-beat-estimates-again-161011633.html?.tsrc=rss'}]",https://finance.yahoo.com/news/conocophillips-cop-beat-estimates-again-161011633.html?.tsrc=rss,2025-04-08 16:10:11,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=8, tm_hour=16, tm_min=10, tm_sec=11, tm_wday=1, tm_yday=98, tm_isdst=0)",Will ConocoPhillips (COP) Beat Estimates Again in Its Next Earnings Report?,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=COP&region=US&lang=en-US', 'value': 'Will ConocoPhillips (COP) Beat Estimates Again in Its Next Earnings Report?'}",COP,Yahoo Finance,Will ConocoPhillips (COP) Beat Estimates Again in Its Next Earnings Report? ConocoPhillips (COP) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,2025,4,8,1,261,39,75,11
