summary,summary_detail,id,guidislink,links,url,date,published_parsed,title,title_detail,ticker,source,text,Year,Month,Day,Weekday,text_length,word_count,title_length,title_word_count
Netflix (NFLX) is targeting $1 trillion in market capitalization and twice the current revenue by 20,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NFLX&region=US&lang=en-US', 'value': 'Netflix (NFLX) is targeting $1 trillion in market capitalization and twice the current revenue by 20'}",59d7c4da-9886-3987-87b9-fbe3af62b1fc,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/market-chatter-netflix-eyes-1-214425380.html?.tsrc=rss'}]",https://finance.yahoo.com/news/market-chatter-netflix-eyes-1-214425380.html?.tsrc=rss,2025-04-14 21:44:25,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=21, tm_min=44, tm_sec=25, tm_wday=0, tm_yday=104, tm_isdst=0)",Market Chatter: Netflix Eyes $1 Trillion Market Cap by 2030,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NFLX&region=US&lang=en-US', 'value': 'Market Chatter: Netflix Eyes $1 Trillion Market Cap by 2030'}",NFLX,Yahoo Finance,Market Chatter: Netflix Eyes $1 Trillion Market Cap by 2030 Netflix (NFLX) is targeting $1 trillion in market capitalization and twice the current revenue by 20,2025,4,14,0,160,26,59,10
Shares have gained more than 50% over the past year on the back of strong quarterly results. Has anybody been watching?,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NFLX&region=US&lang=en-US', 'value': 'Shares have gained more than 50% over the past year on the back of strong quarterly results. Has anybody been watching?'}",7ad7d193-6b70-36c3-abbb-c1429e95337a,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/netflix-shares-being-overlooked-213300588.html?.tsrc=rss'}]",https://finance.yahoo.com/news/netflix-shares-being-overlooked-213300588.html?.tsrc=rss,2025-04-14 21:33:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=21, tm_min=33, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)",Are Netflix Shares Being Overlooked?,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NFLX&region=US&lang=en-US', 'value': 'Are Netflix Shares Being Overlooked?'}",NFLX,Yahoo Finance,Are Netflix Shares Being Overlooked? Shares have gained more than 50% over the past year on the back of strong quarterly results. Has anybody been watching?,2025,4,14,0,156,26,36,5
"Investing.com -- Netflix Inc (NASDAQ:NFLX) executives have set a target for the streaming giant to achieve a $1 trillion market valuation by 2030. In a recent internal strategy meeting, senior leaders shared their vision to double the company’s revenue and triple its operating income by the end of the decade, according to The Wall Street Journal, citing people who attended the meeting.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NFLX&region=US&lang=en-US', 'value': 'Investing.com -- Netflix Inc (NASDAQ:NFLX) executives have set a target for the streaming giant to achieve a $1 trillion market valuation by 2030. In a recent internal strategy meeting, senior leaders shared their vision to double the company’s revenue and triple its operating income by the end of the decade, according to The Wall Street Journal, citing people who attended the meeting.'}",6c7cbef0-7fd4-3516-ba63-4ade1a73ef76,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/netflix-eyes-1-trillion-valuation-212318083.html?.tsrc=rss'}]",https://finance.yahoo.com/news/netflix-eyes-1-trillion-valuation-212318083.html?.tsrc=rss,2025-04-14 21:23:18,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=21, tm_min=23, tm_sec=18, tm_wday=0, tm_yday=104, tm_isdst=0)",Netflix eyes $1 trillion valuation by 2030 - WSJ,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NFLX&region=US&lang=en-US', 'value': 'Netflix eyes $1 trillion valuation by 2030 - WSJ'}",NFLX,Yahoo Finance,"Netflix eyes $1 trillion valuation by 2030 - WSJ Investing.com -- Netflix Inc (NASDAQ:NFLX) executives have set a target for the streaming giant to achieve a $1 trillion market valuation by 2030. In a recent internal strategy meeting, senior leaders shared their vision to double the company’s revenue and triple its operating income by the end of the decade, according to The Wall Street Journal, citing people who attended the meeting.",2025,4,14,0,437,71,48,9
The streaming service has shared financial performance targets with staff that underscore its dominance.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NFLX&region=US&lang=en-US', 'value': 'The streaming service has shared financial performance targets with staff that underscore its dominance.'}",4360da47-46c9-3d78-933e-b41306ad8b10,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/4360da47-46c9-3d78-933e-b41306ad8b10/netflix-aims-to-join-the-%241.html?.tsrc=rss'}]",https://finance.yahoo.com/m/4360da47-46c9-3d78-933e-b41306ad8b10/netflix-aims-to-join-the-%241.html?.tsrc=rss,2025-04-14 20:37:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=20, tm_min=37, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)",Netflix Aims to Join the $1 Trillion Club,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NFLX&region=US&lang=en-US', 'value': 'Netflix Aims to Join the $1 Trillion Club'}",NFLX,Yahoo Finance,Netflix Aims to Join the $1 Trillion Club The streaming service has shared financial performance targets with staff that underscore its dominance.,2025,4,14,0,146,22,41,8
"NFLX shows promise, but valuation reflects growth. Investors can hold the stock and wait for better entry amid Q1 seasonality, FX pressures, and streaming competition.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NFLX&region=US&lang=en-US', 'value': 'NFLX shows promise, but valuation reflects growth. Investors can hold the stock and wait for better entry amid Q1 seasonality, FX pressures, and streaming competition.'}",a21b2aa4-1d84-3f4d-a610-2531fec74acc,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/netflix-gears-report-q1-earnings-190000219.html?.tsrc=rss'}]",https://finance.yahoo.com/news/netflix-gears-report-q1-earnings-190000219.html?.tsrc=rss,2025-04-14 19:00:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=19, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)","Netflix Gears Up to Report Q1 Earnings: Buy, Sell or Hold NFLX Stock?","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NFLX&region=US&lang=en-US', 'value': 'Netflix Gears Up to Report Q1 Earnings: Buy, Sell or Hold NFLX Stock?'}",NFLX,Yahoo Finance,"Netflix Gears Up to Report Q1 Earnings: Buy, Sell or Hold NFLX Stock? NFLX shows promise, but valuation reflects growth. Investors can hold the stock and wait for better entry amid Q1 seasonality, FX pressures, and streaming competition.",2025,4,14,0,237,38,69,13
"Netflix (NFLX) is set to report first quarter earnings after the closing bell on Thursday. Yahoo Finance Senior Reporter Alexandra Canal sits down with Catalysts host Madison Mills and Great Hill Capital chairman and managing member Thomas Hayes to discuss what investors will be watching for during the streaming giant's results. To watch more expert insights and analysis on the latest market action, check out more Catalysts here.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NFLX&region=US&lang=en-US', 'value': ""Netflix (NFLX) is set to report first quarter earnings after the closing bell on Thursday. Yahoo Finance Senior Reporter Alexandra Canal sits down with Catalysts host Madison Mills and Great Hill Capital chairman and managing member Thomas Hayes to discuss what investors will be watching for during the streaming giant's results. To watch more expert insights and analysis on the latest market action, check out more Catalysts here.""}",b5b2eb15-edc5-3f4f-8af2-b7b671724c05,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/video/netflixs-q1-earnings-thursday-expect-161329088.html?.tsrc=rss'}]",https://finance.yahoo.com/video/netflixs-q1-earnings-thursday-expect-161329088.html?.tsrc=rss,2025-04-14 16:13:29,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=16, tm_min=13, tm_sec=29, tm_wday=0, tm_yday=104, tm_isdst=0)",Netflix's Q1 earnings out Thursday: What to expect,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NFLX&region=US&lang=en-US', 'value': ""Netflix's Q1 earnings out Thursday: What to expect""}",NFLX,Yahoo Finance,"Netflix's Q1 earnings out Thursday: What to expect Netflix (NFLX) is set to report first quarter earnings after the closing bell on Thursday. Yahoo Finance Senior Reporter Alexandra Canal sits down with Catalysts host Madison Mills and Great Hill Capital chairman and managing member Thomas Hayes to discuss what investors will be watching for during the streaming giant's results. To watch more expert insights and analysis on the latest market action, check out more Catalysts here.",2025,4,14,0,484,76,50,8
Netflix shares moved higher to start the week as the streaming giant gets set to report earnings after Thursday’s close. Monitor these vital chart levels.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NFLX&region=US&lang=en-US', 'value': 'Netflix shares moved higher to start the week as the streaming giant gets set to report earnings after Thursday’s close. Monitor these vital chart levels.'}",5fb0eca8-4830-3a07-9762-39b97052ca4c,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.investopedia.com/watch-these-netflix-stock-price-levels-ahead-of-earnings-report-this-week-11714486?.tsrc=rss'}]",https://www.investopedia.com/watch-these-netflix-stock-price-levels-ahead-of-earnings-report-this-week-11714486?.tsrc=rss,2025-04-14 15:10:31,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=15, tm_min=10, tm_sec=31, tm_wday=0, tm_yday=104, tm_isdst=0)",Watch These Netflix Stock Price Levels Ahead of  Earnings Report This Week,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NFLX&region=US&lang=en-US', 'value': 'Watch These Netflix Stock Price Levels Ahead of  Earnings Report This Week'}",NFLX,Yahoo Finance,Watch These Netflix Stock Price Levels Ahead of  Earnings Report This Week Netflix shares moved higher to start the week as the streaming giant gets set to report earnings after Thursday’s close. Monitor these vital chart levels.,2025,4,14,0,229,37,74,12
"Beyond analysts' top -and-bottom-line estimates for Netflix (NFLX), evaluate projections for some of its key metrics to gain a better insight into how the business might have performed for the quarter ended March 2025.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NFLX&region=US&lang=en-US', 'value': ""Beyond analysts' top -and-bottom-line estimates for Netflix (NFLX), evaluate projections for some of its key metrics to gain a better insight into how the business might have performed for the quarter ended March 2025.""}",b39597cb-35ce-3f5d-a382-a145d1dfa6e6,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/netflix-nflx-q1-earnings-preview-131515426.html?.tsrc=rss'}]",https://finance.yahoo.com/news/netflix-nflx-q1-earnings-preview-131515426.html?.tsrc=rss,2025-04-14 13:15:15,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=13, tm_min=15, tm_sec=15, tm_wday=0, tm_yday=104, tm_isdst=0)",Netflix (NFLX) Q1 Earnings Preview: What You Should Know Beyond the Headline Estimates,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NFLX&region=US&lang=en-US', 'value': 'Netflix (NFLX) Q1 Earnings Preview: What You Should Know Beyond the Headline Estimates'}",NFLX,Yahoo Finance,"Netflix (NFLX) Q1 Earnings Preview: What You Should Know Beyond the Headline Estimates Beyond analysts' top -and-bottom-line estimates for Netflix (NFLX), evaluate projections for some of its key metrics to gain a better insight into how the business might have performed for the quarter ended March 2025.",2025,4,14,0,305,47,86,13
"Apple, tech companies win reprieve from many Trump tariffs, but the president said it's temporary.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NFLX&region=US&lang=en-US', 'value': ""Apple, tech companies win reprieve from many Trump tariffs, but the president said it's temporary.""}",50dbc512-dd52-33f7-a60b-84ac3d8ac9e2,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/50dbc512-dd52-33f7-a60b-84ac3d8ac9e2/dow-jones-futures-jump-on-big.html?.tsrc=rss'}]",https://finance.yahoo.com/m/50dbc512-dd52-33f7-a60b-84ac3d8ac9e2/dow-jones-futures-jump-on-big.html?.tsrc=rss,2025-04-14 12:19:45,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=12, tm_min=19, tm_sec=45, tm_wday=0, tm_yday=104, tm_isdst=0)","Dow Jones Futures Jump On Big Trump Tariff News For Apple, Techs; Palantir Makes Bullish Move","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NFLX&region=US&lang=en-US', 'value': 'Dow Jones Futures Jump On Big Trump Tariff News For Apple, Techs; Palantir Makes Bullish Move'}",NFLX,Yahoo Finance,"Dow Jones Futures Jump On Big Trump Tariff News For Apple, Techs; Palantir Makes Bullish Move Apple, tech companies win reprieve from many Trump tariffs, but the president said it's temporary.",2025,4,14,0,192,31,93,16
"Here are the top earnings reports to watch for the week of April 14 to April 18. United Airlines (UAL) will publish its earnings report on Tuesday, while Taiwan Semiconductor Manufacturing Company (TSM) and Netflix (NFLX) are set to report results on Thursday. To watch more expert insights and analysis on the latest market action, check out more Market Domination Overtime here.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NFLX&region=US&lang=en-US', 'value': 'Here are the top earnings reports to watch for the week of April 14 to April 18. United Airlines (UAL) will publish its earnings report on Tuesday, while Taiwan Semiconductor Manufacturing Company (TSM) and Netflix (NFLX) are set to report results on Thursday. To watch more expert insights and analysis on the latest market action, check out more Market Domination Overtime here.'}",fb8050fc-557e-3b72-9319-2e1e2fee8410,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/video/united-airlines-tsm-netflix-earnings-121532327.html?.tsrc=rss'}]",https://finance.yahoo.com/video/united-airlines-tsm-netflix-earnings-121532327.html?.tsrc=rss,2025-04-14 10:00:32,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=10, tm_min=0, tm_sec=32, tm_wday=0, tm_yday=104, tm_isdst=0)","United Airlines, TSM, & Netflix earnings: What to Watch","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NFLX&region=US&lang=en-US', 'value': 'United Airlines, TSM, & Netflix earnings: What to Watch'}",NFLX,Yahoo Finance,"United Airlines, TSM, & Netflix earnings: What to Watch Here are the top earnings reports to watch for the week of April 14 to April 18. United Airlines (UAL) will publish its earnings report on Tuesday, while Taiwan Semiconductor Manufacturing Company (TSM) and Netflix (NFLX) are set to report results on Thursday. To watch more expert insights and analysis on the latest market action, check out more Market Domination Overtime here.",2025,4,14,0,436,71,55,9
