summary,summary_detail,id,guidislink,links,url,date,published_parsed,title,title_detail,ticker,source,text,Year,Month,Day,Weekday,text_length,word_count,title_length,title_word_count
"Apple (NASDAQ: AAPL) stock returned 30% in 2024, peaking around $259 per share in late December.  Factors contributing to that upside included strong sales growth in the services business and excitement about new artificial intelligence (AI) features.  President Trump on April 2 outlined an aggressive slate of reciprocal tariffs that would take the average tax on U.S. imports to its highest level in a century.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'Apple (NASDAQ: AAPL) stock returned 30% in 2024, peaking around $259 per share in late December.  Factors contributing to that upside included strong sales growth in the services business and excitement about new artificial intelligence (AI) features.  President Trump on April 2 outlined an aggressive slate of reciprocal tariffs that would take the average tax on U.S. imports to its highest level in a century.'}",597e5285-392b-366d-88e2-d79adf3759ff,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.fool.com/investing/2025/04/15/apple-stock-dropped-30-high-this-will-happen-next/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=ed16435f-87c6-41e8-9f84-495052976794&.tsrc=rss'}]",https://www.fool.com/investing/2025/04/15/apple-stock-dropped-30-high-this-will-happen-next/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=ed16435f-87c6-41e8-9f84-495052976794&.tsrc=rss,2025-04-15 07:55:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=15, tm_hour=7, tm_min=55, tm_sec=0, tm_wday=1, tm_yday=105, tm_isdst=0)",Apple Stock Dropped 30% From Its High. History Says This Will Happen Next.,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'Apple Stock Dropped 30% From Its High. History Says This Will Happen Next.'}",AAPL,Yahoo Finance,"Apple Stock Dropped 30% From Its High. History Says This Will Happen Next. Apple (NASDAQ: AAPL) stock returned 30% in 2024, peaking around $259 per share in late December.  Factors contributing to that upside included strong sales growth in the services business and excitement about new artificial intelligence (AI) features.  President Trump on April 2 outlined an aggressive slate of reciprocal tariffs that would take the average tax on U.S. imports to its highest level in a century.",2025,4,15,1,488,78,74,13
"If the administration levies long-term tariffs, a wide array of consumer electronics OEMs will be impacted.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'If the administration levies long-term tariffs, a wide array of consumer electronics OEMs will be impacted.'}",55311aa3-f712-38ee-a4c4-5ca81be03953,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.verdict.co.uk/tariff-blows-consumer-goods/?.tsrc=rss'}]",https://www.verdict.co.uk/tariff-blows-consumer-goods/?.tsrc=rss,2025-04-15 07:31:30,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=15, tm_hour=7, tm_min=31, tm_sec=30, tm_wday=1, tm_yday=105, tm_isdst=0)",Tariff turmoil: consumer devices on shaky ground,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'Tariff turmoil: consumer devices on shaky ground'}",AAPL,Yahoo Finance,"Tariff turmoil: consumer devices on shaky ground If the administration levies long-term tariffs, a wide array of consumer electronics OEMs will be impacted.",2025,4,15,1,156,23,48,7
"(Bloomberg) -- Supply Lines is a daily newsletter that tracks global trade. Sign up here.Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortagePresident Donald Trump’s administration pressed forward with plans to impose tariffs on semiconductor and pharmaceutical imports by initiating trade","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': '(Bloomberg) -- Supply Lines is a daily newsletter that tracks global trade. Sign up here.Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortagePresident Donald Trump’s administration pressed forward with plans to impose tariffs on semiconductor and pharmaceutical imports by initiating trade'}",a30a5fcf-e03e-3de5-afb5-69f6fec48422,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/trump-announces-chips-drug-probes-204108780.html?.tsrc=rss'}]",https://finance.yahoo.com/news/trump-announces-chips-drug-probes-204108780.html?.tsrc=rss,2025-04-15 03:32:37,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=15, tm_hour=3, tm_min=32, tm_sec=37, tm_wday=1, tm_yday=105, tm_isdst=0)",Trump Initiates Chips and Drug Probes Ahead of More Tariffs,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'Trump Initiates Chips and Drug Probes\xa0Ahead of More Tariffs'}",AAPL,Yahoo Finance,"Trump Initiates Chips and Drug Probes Ahead of More Tariffs (Bloomberg) -- Supply Lines is a daily newsletter that tracks global trade. Sign up here.Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortagePresident Donald Trump’s administration pressed forward with plans to impose tariffs on semiconductor and pharmaceutical imports by initiating trade",2025,4,15,1,560,81,59,10
"Markets rejoice as tech gets a temporary pass, but Trump warns the hammer could still drop on semiconductors","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'Markets rejoice as tech gets a temporary pass, but Trump warns the hammer could still drop on semiconductors'}",fe9a43a9-6abb-3a1b-a7cf-5924de27ef65,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/trumps-tariff-u-turn-triggers-005450299.html?.tsrc=rss'}]",https://finance.yahoo.com/news/trumps-tariff-u-turn-triggers-005450299.html?.tsrc=rss,2025-04-15 00:54:50,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=15, tm_hour=0, tm_min=54, tm_sec=50, tm_wday=1, tm_yday=105, tm_isdst=0)",Trump's Tariff U-Turn Triggers Global Stock Frenzy--But the Real Shock Is Still Coming,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': ""Trump's Tariff U-Turn Triggers Global Stock Frenzy--But the Real Shock Is Still Coming""}",AAPL,Yahoo Finance,"Trump's Tariff U-Turn Triggers Global Stock Frenzy--But the Real Shock Is Still Coming Markets rejoice as tech gets a temporary pass, but Trump warns the hammer could still drop on semiconductors",2025,4,15,1,195,31,86,13
"Chip maker  Nvidia  unveiled plans Monday to produce new made-in-America supercomputers that power artificial intelligence, just one day after the Trump administration said tariffs were coming for semiconductor-reliant imports.  The chip maker said it would make AI supercomputers with contract manufacturers in Texas, its first public disclosure of a plan that would amplify ongoing U.S. efforts to bring semiconductor production back to domestic markets.  A darling of the global AI boom, Nvidia promised an eye-popping $500 billion in spending in the coming years, an announcement that echoed a similar goal disclosed by  Apple  in February.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'Chip maker  Nvidia  unveiled plans Monday to produce new made-in-America supercomputers that power artificial intelligence, just one day after the Trump administration said tariffs were coming for semiconductor-reliant imports.  The chip maker said it would make AI supercomputers with contract manufacturers in Texas, its first public disclosure of a plan that would amplify ongoing U.S. efforts to bring semiconductor production back to domestic markets.  A darling of the global AI boom, Nvidia promised an eye-popping $500 billion in spending in the coming years, an announcement that echoed a similar goal disclosed by  Apple  in February.'}",bcd86848-f5cd-3aa1-8ff3-dbe5e6f1d84e,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/bcd86848-f5cd-3aa1-8ff3-dbe5e6f1d84e/nvidia%E2%80%99s-made-in-the-u.s.a..html?.tsrc=rss'}]",https://finance.yahoo.com/m/bcd86848-f5cd-3aa1-8ff3-dbe5e6f1d84e/nvidia%E2%80%99s-made-in-the-u.s.a..html?.tsrc=rss,2025-04-14 23:14:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=23, tm_min=14, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)",Nvidia’s Made-in-the-U.S.A. Move Follows a Familiar Trump Pattern,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'Nvidia’s Made-in-the-U.S.A. Move Follows a Familiar Trump Pattern'}",AAPL,Yahoo Finance,"Nvidia’s Made-in-the-U.S.A. Move Follows a Familiar Trump Pattern Chip maker  Nvidia  unveiled plans Monday to produce new made-in-America supercomputers that power artificial intelligence, just one day after the Trump administration said tariffs were coming for semiconductor-reliant imports.  The chip maker said it would make AI supercomputers with contract manufacturers in Texas, its first public disclosure of a plan that would amplify ongoing U.S. efforts to bring semiconductor production back to domestic markets.  A darling of the global AI boom, Nvidia promised an eye-popping $500 billion in spending in the coming years, an announcement that echoed a similar goal disclosed by  Apple  in February.",2025,4,14,0,710,103,65,8
"Apple, Nvidia and other tech company stocks rebounded on Monday, after the Trump administration said tariffs affecting the electronics industry on products like smartphones are coming later.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'Apple, Nvidia and other tech company stocks rebounded on Monday, after the Trump administration said tariffs affecting the electronics industry on products like smartphones are coming later.'}",0d512626-46ed-3d5a-8177-1c7e617dccf0,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/apple-other-tech-stocks-rebound-223137743.html?.tsrc=rss'}]",https://finance.yahoo.com/news/apple-other-tech-stocks-rebound-223137743.html?.tsrc=rss,2025-04-14 22:31:37,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=22, tm_min=31, tm_sec=37, tm_wday=0, tm_yday=104, tm_isdst=0)",Apple and other tech stocks rebound after Trump offers more tariffs guidance,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'Apple and other tech stocks rebound after Trump offers more tariffs guidance'}",AAPL,Yahoo Finance,"Apple and other tech stocks rebound after Trump offers more tariffs guidance Apple, Nvidia and other tech company stocks rebounded on Monday, after the Trump administration said tariffs affecting the electronics industry on products like smartphones are coming later.",2025,4,14,0,267,39,76,12
"Investing.com -- The VIX, or fear index, collapsed 18% on Monday to $30.73. It has been as high as $65.73 in the recent tariff melee.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'Investing.com -- The VIX, or fear index, collapsed 18% on Monday to $30.73. It has been as high as $65.73 in the recent tariff melee.'}",6533338e-3fd5-3aed-b06e-bafc9df7ef6f,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/vix-wall-street-fear-gauge-205353099.html?.tsrc=rss'}]",https://finance.yahoo.com/news/vix-wall-street-fear-gauge-205353099.html?.tsrc=rss,2025-04-14 20:53:53,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=20, tm_min=53, tm_sec=53, tm_wday=0, tm_yday=104, tm_isdst=0)","VIX, Wall Street’s fear gauge, sinks nearly 20% on temporary tech tariff relief","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'VIX, Wall Street’s fear gauge, sinks nearly 20% on temporary tech tariff relief'}",AAPL,Yahoo Finance,"VIX, Wall Street’s fear gauge, sinks nearly 20% on temporary tech tariff relief Investing.com -- The VIX, or fear index, collapsed 18% on Monday to $30.73. It has been as high as $65.73 in the recent tariff melee.",2025,4,14,0,213,38,79,13
"Shares of iPhone and iPad maker Apple (NASDAQ:AAPL) jumped 2.2% in the morning session after reports indicated that smartphones, computers, and a wide range of tech devices and components would be exempt from the reciprocal tariffs on U.S. imports announced on April 2, 2025. The list of spared goods includes chips, solar panels, flat-screen TVs, flash drives, and memory cards.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'Shares of iPhone and iPad maker Apple (NASDAQ:AAPL) jumped 2.2% in the morning session after reports indicated that smartphones, computers, and a wide range of tech devices and components would be exempt from the reciprocal tariffs on U.S. imports announced on April 2, 2025. The list of spared goods includes chips, solar panels, flat-screen TVs, flash drives, and memory cards.'}",d5d3de9d-7a3e-34de-bc38-fe3ea26ed1e4,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/why-apple-aapl-stock-today-205118997.html?.tsrc=rss'}]",https://finance.yahoo.com/news/why-apple-aapl-stock-today-205118997.html?.tsrc=rss,2025-04-14 20:51:18,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=20, tm_min=51, tm_sec=18, tm_wday=0, tm_yday=104, tm_isdst=0)",Why Apple (AAPL) Stock Is Up Today,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'Why Apple (AAPL) Stock Is Up Today'}",AAPL,Yahoo Finance,"Why Apple (AAPL) Stock Is Up Today Shares of iPhone and iPad maker Apple (NASDAQ:AAPL) jumped 2.2% in the morning session after reports indicated that smartphones, computers, and a wide range of tech devices and components would be exempt from the reciprocal tariffs on U.S. imports announced on April 2, 2025. The list of spared goods includes chips, solar panels, flat-screen TVs, flash drives, and memory cards.",2025,4,14,0,414,67,34,7
Here’s what analysts think could be next for Apple stock.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'Here’s what analysts think could be next for Apple stock.'}",6bfed680-d00f-3a5b-bb69-46917ab9120c,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thestreet.com/investing/surprising-china-news-sends-apple-stock-surging?.tsrc=rss'}]",https://www.thestreet.com/investing/surprising-china-news-sends-apple-stock-surging?.tsrc=rss,2025-04-14 20:30:55,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=20, tm_min=30, tm_sec=55, tm_wday=0, tm_yday=104, tm_isdst=0)",Surprising China news sends Apple stock surging,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'Surprising China news sends Apple stock surging'}",AAPL,Yahoo Finance,Surprising China news sends Apple stock surging Here’s what analysts think could be next for Apple stock.,2025,4,14,0,105,17,47,7
"U.S. stocks edged up Monday as investors digested mixed messages on the trade war, following some of the most chaotic and turbulent weeks in recent market memory.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'U.S. stocks edged up Monday as investors digested mixed messages on the trade war, following some of the most chaotic and turbulent weeks in recent market memory.'}",afb318d2-6e15-3f92-ab0f-e27044419bdf,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/stocks-rise-apple-jumps-goldman-121600681.html?.tsrc=rss'}]",https://finance.yahoo.com/news/stocks-rise-apple-jumps-goldman-121600681.html?.tsrc=rss,2025-04-14 20:30:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=20, tm_min=30, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)","The Dow and S&P 500 rise slightly, but tariff and recession fears linger","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AAPL&region=US&lang=en-US', 'value': 'The Dow and S&P 500 rise slightly, but tariff and recession fears linger'}",AAPL,Yahoo Finance,"The Dow and S&P 500 rise slightly, but tariff and recession fears linger U.S. stocks edged up Monday as investors digested mixed messages on the trade war, following some of the most chaotic and turbulent weeks in recent market memory.",2025,4,14,0,235,40,72,13
