summary,summary_detail,id,guidislink,links,url,date,published_parsed,title,title_detail,ticker,source,text,Year,Month,Day,Weekday,text_length,word_count,title_length,title_word_count
"(Bloomberg) -- Worries over global trade dragged the dollar to a six-month low on Monday, leaving investors bracing for more weakness ahead. Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortageThe Bloomberg Dollar Spot Index extended declines for a fifth day, falling a total of 3.3% durin","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': '(Bloomberg) -- Worries over global trade dragged the dollar to a six-month low on Monday, leaving investors bracing for more weakness ahead. Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortageThe Bloomberg Dollar Spot Index extended declines for a fifth day, falling a total of 3.3% durin'}",d07a2f66-c545-35d7-9a73-544cfdbc9600,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/dollar-finds-support-now-trump-210918190.html?.tsrc=rss'}]",https://finance.yahoo.com/news/dollar-finds-support-now-trump-210918190.html?.tsrc=rss,2025-04-14 20:38:38,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=20, tm_min=38, tm_sec=38, tm_wday=0, tm_yday=104, tm_isdst=0)",Dollar’s Losing Run Shows Wall Street Angst Over Tariff U-Turns,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': 'Dollar’s Losing Run Shows Wall Street Angst Over Tariff U-Turns'}",GS,Yahoo Finance,"Dollar’s Losing Run Shows Wall Street Angst Over Tariff U-Turns (Bloomberg) -- Worries over global trade dragged the dollar to a six-month low on Monday, leaving investors bracing for more weakness ahead. Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortageThe Bloomberg Dollar Spot Index extended declines for a fifth day, falling a total of 3.3% durin",2025,4,14,0,564,87,63,10
"U.S. stocks edged up Monday as investors digested mixed messages on the trade war, following some of the most chaotic and turbulent weeks in recent market memory.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': 'U.S. stocks edged up Monday as investors digested mixed messages on the trade war, following some of the most chaotic and turbulent weeks in recent market memory.'}",afb318d2-6e15-3f92-ab0f-e27044419bdf,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/stocks-rise-apple-jumps-goldman-121600681.html?.tsrc=rss'}]",https://finance.yahoo.com/news/stocks-rise-apple-jumps-goldman-121600681.html?.tsrc=rss,2025-04-14 20:30:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=20, tm_min=30, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)","The Dow and S&P 500 rise slightly, but tariff and recession fears linger","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': 'The Dow and S&P 500 rise slightly, but tariff and recession fears linger'}",GS,Yahoo Finance,"The Dow and S&P 500 rise slightly, but tariff and recession fears linger U.S. stocks edged up Monday as investors digested mixed messages on the trade war, following some of the most chaotic and turbulent weeks in recent market memory.",2025,4,14,0,235,40,72,13
The Dow Jones rose on the stock market today and auto stocks popped after President Donald Trump spoke out. Palantir stock was higher while Nvidia fell.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': 'The Dow Jones rose on the stock market today and auto stocks popped after President Donald Trump spoke out. Palantir stock was higher while Nvidia fell.'}",340f364a-fa47-30cc-9c19-b947b2bb27cd,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/340f364a-fa47-30cc-9c19-b947b2bb27cd/stock-market-today%3A-dow-jones.html?.tsrc=rss'}]",https://finance.yahoo.com/m/340f364a-fa47-30cc-9c19-b947b2bb27cd/stock-market-today%3A-dow-jones.html?.tsrc=rss,2025-04-14 20:27:18,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=20, tm_min=27, tm_sec=18, tm_wday=0, tm_yday=104, tm_isdst=0)",Stock Market Today: Dow Jones Up As Fed's Waller Says This On Rate Cuts; Trump Wants To 'Help' Autos But Tesla Lags (Live Coverage),"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': ""Stock Market Today: Dow Jones Up As Fed's Waller Says This On Rate Cuts; Trump Wants To 'Help' Autos But Tesla Lags (Live Coverage)""}",GS,Yahoo Finance,Stock Market Today: Dow Jones Up As Fed's Waller Says This On Rate Cuts; Trump Wants To 'Help' Autos But Tesla Lags (Live Coverage) The Dow Jones rose on the stock market today and auto stocks popped after President Donald Trump spoke out. Palantir stock was higher while Nvidia fell.,2025,4,14,0,284,50,131,24
Goldman Sachs earnings beat Q1 views as global banking revenue offset declines elsewhere. The Dow giant was cautious on Q2. But GS stock rose.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': 'Goldman Sachs earnings beat Q1 views as global banking revenue offset declines elsewhere. The Dow giant was cautious on Q2. But GS stock rose.'}",57285fd5-fb6b-35b8-a4cd-cb0d2eb82c39,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/57285fd5-fb6b-35b8-a4cd-cb0d2eb82c39/goldman-sachs-trounces-views%2C.html?.tsrc=rss'}]",https://finance.yahoo.com/m/57285fd5-fb6b-35b8-a4cd-cb0d2eb82c39/goldman-sachs-trounces-views%2C.html?.tsrc=rss,2025-04-14 20:14:51,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=20, tm_min=14, tm_sec=51, tm_wday=0, tm_yday=104, tm_isdst=0)","Goldman Sachs Trounces Views, Sees 'Markedly Different' Environment In Q2","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': ""Goldman Sachs Trounces Views, Sees 'Markedly Different' Environment In Q2""}",GS,Yahoo Finance,"Goldman Sachs Trounces Views, Sees 'Markedly Different' Environment In Q2 Goldman Sachs earnings beat Q1 views as global banking revenue offset declines elsewhere. The Dow giant was cautious on Q2. But GS stock rose.",2025,4,14,0,216,34,73,10
"Goldman Sachs  on Monday reported first-quarter profit that beat analyst expectations as tumultuous markets proved a double-edged sword.  The bank’s trading business boomed, benefiting from market swings, while revenue from investment bankers’ advisory work declined.  Goldman’s stock and bond traders took advantage of volatile markets, which can create opportunities for making big bets.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': 'Goldman Sachs  on Monday reported first-quarter profit that beat analyst expectations as tumultuous markets proved a double-edged sword.  The bank’s trading business boomed, benefiting from market swings, while revenue from investment bankers’ advisory work declined.  Goldman’s stock and bond traders took advantage of volatile markets, which can create opportunities for making big bets.'}",ba16d2cb-64de-35bb-bff1-818fe55bab84,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/ba16d2cb-64de-35bb-bff1-818fe55bab84/goldman-sachs%E2%80%99-profit-rises.html?.tsrc=rss'}]",https://finance.yahoo.com/m/ba16d2cb-64de-35bb-bff1-818fe55bab84/goldman-sachs%E2%80%99-profit-rises.html?.tsrc=rss,2025-04-14 19:17:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=19, tm_min=17, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)",Goldman Sachs’ Profit Rises 15% and Tops Expectations as Trading Surges,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': 'Goldman Sachs’ Profit Rises 15% and Tops Expectations as Trading Surges'}",GS,Yahoo Finance,"Goldman Sachs’ Profit Rises 15% and Tops Expectations as Trading Surges Goldman Sachs  on Monday reported first-quarter profit that beat analyst expectations as tumultuous markets proved a double-edged sword.  The bank’s trading business boomed, benefiting from market swings, while revenue from investment bankers’ advisory work declined.  Goldman’s stock and bond traders took advantage of volatile markets, which can create opportunities for making big bets.",2025,4,14,0,461,64,71,11
"(Bloomberg) -- Oil held steady as traders weighed the latest US moves in the global trade war, as well as the prospect of looser restrictions on Iranian crude.Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortageWest Texas Intermediate settled little changed near $61.50 a barrel, and Brent","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': '(Bloomberg) -- Oil held steady as traders weighed the latest US moves in the global trade war, as well as the prospect of looser restrictions on Iranian crude.Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortageWest Texas Intermediate settled little changed near $61.50 a barrel, and Brent'}",48ef5c24-092d-3ab6-82e7-4cdb9ebb9288,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/oil-steady-trump-tariff-reprieve-223603774.html?.tsrc=rss'}]",https://finance.yahoo.com/news/oil-steady-trump-tariff-reprieve-223603774.html?.tsrc=rss,2025-04-14 19:04:06,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=19, tm_min=4, tm_sec=6, tm_wday=0, tm_yday=104, tm_isdst=0)",Oil Steadies as Progress on Iran Talks Undercuts Tariff Reprieve,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': 'Oil Steadies as Progress on Iran Talks Undercuts Tariff Reprieve'}",GS,Yahoo Finance,"Oil Steadies as Progress on Iran Talks Undercuts Tariff Reprieve (Bloomberg) -- Oil held steady as traders weighed the latest US moves in the global trade war, as well as the prospect of looser restrictions on Iranian crude.Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortageWest Texas Intermediate settled little changed near $61.50 a barrel, and Brent",2025,4,14,0,565,87,64,10
"Goldman Sachs Group Inc.'s stock traders posted their highest quarterly revenue haul on record, riding a wave of volatility triggered by an emerging global trade war that's roiled financial markets. KBW Analyst of Large Cap Banks David Konrad has more on the story.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': ""Goldman Sachs Group Inc.'s stock traders posted their highest quarterly revenue haul on record, riding a wave of volatility triggered by an emerging global trade war that's roiled financial markets. KBW Analyst of Large Cap Banks David Konrad has more on the story.""}",61df86d9-6eee-3046-b302-92d1b5e9bb5b,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/video/kbw-analyst-goldman-sachs-record-180342835.html?.tsrc=rss'}]",https://finance.yahoo.com/video/kbw-analyst-goldman-sachs-record-180342835.html?.tsrc=rss,2025-04-14 18:03:42,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=18, tm_min=3, tm_sec=42, tm_wday=0, tm_yday=104, tm_isdst=0)",KBW Analyst on Goldman Sachs' Record Quarter,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': ""KBW Analyst on Goldman Sachs' Record Quarter""}",GS,Yahoo Finance,"KBW Analyst on Goldman Sachs' Record Quarter Goldman Sachs Group Inc.'s stock traders posted their highest quarterly revenue haul on record, riding a wave of volatility triggered by an emerging global trade war that's roiled financial markets. KBW Analyst of Large Cap Banks David Konrad has more on the story.",2025,4,14,0,310,50,44,7
"Goldman Sachs Hits $4.74B Profit, Stock Trading Revenue Soars 27%","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': 'Goldman Sachs Hits $4.74B Profit, Stock Trading Revenue Soars 27%'}",9ea336dc-eac5-3312-a71f-e6b9d9a35dd9,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/goldman-sachs-shares-climb-bank-173420664.html?.tsrc=rss'}]",https://finance.yahoo.com/news/goldman-sachs-shares-climb-bank-173420664.html?.tsrc=rss,2025-04-14 17:34:20,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=17, tm_min=34, tm_sec=20, tm_wday=0, tm_yday=104, tm_isdst=0)",Goldman Sachs Shares Climb as Bank Posts Best-Ever Trading Quarter,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': 'Goldman Sachs Shares Climb as Bank Posts Best-Ever Trading Quarter'}",GS,Yahoo Finance,"Goldman Sachs Shares Climb as Bank Posts Best-Ever Trading Quarter Goldman Sachs Hits $4.74B Profit, Stock Trading Revenue Soars 27%",2025,4,14,0,132,20,66,10
"The Goldman Sachs Group (NYSE:GS) reported strong quarterly earnings with net income and earnings per share both showing significant growth compared to the previous year. This financial performance, combined with the announcement of a substantial $40 billion share repurchase program, added momentum to its stock price, which rose by 6% last week. The market's broader positive trend, evidenced by robust gains in major indexes like the S&amp;P 500, further supported this upward movement. In...","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': ""The Goldman Sachs Group (NYSE:GS) reported strong quarterly earnings with net income and earnings per share both showing significant growth compared to the previous year. This financial performance, combined with the announcement of a substantial $40 billion share repurchase program, added momentum to its stock price, which rose by 6% last week. The market's broader positive trend, evidenced by robust gains in major indexes like the S&amp;P 500, further supported this upward movement. In...""}",12d73f1c-a796-36fe-9be2-b61069168bce,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/goldman-sachs-group-nyse-gs-173045178.html?.tsrc=rss'}]",https://finance.yahoo.com/news/goldman-sachs-group-nyse-gs-173045178.html?.tsrc=rss,2025-04-14 17:30:45,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=17, tm_min=30, tm_sec=45, tm_wday=0, tm_yday=104, tm_isdst=0)",Goldman Sachs Group (NYSE:GS) Announces US$40 Billion Buyback; Reports Increased Q1 Earnings,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': 'Goldman Sachs Group (NYSE:GS) Announces US$40 Billion Buyback; Reports Increased Q1 Earnings'}",GS,Yahoo Finance,"Goldman Sachs Group (NYSE:GS) Announces US$40 Billion Buyback; Reports Increased Q1 Earnings The Goldman Sachs Group (NYSE:GS) reported strong quarterly earnings with net income and earnings per share both showing significant growth compared to the previous year. This financial performance, combined with the announcement of a substantial $40 billion share repurchase program, added momentum to its stock price, which rose by 6% last week. The market's broader positive trend, evidenced by robust gains in major indexes like the S&amp;P 500, further supported this upward movement. In...",2025,4,14,0,588,86,92,12
All three major US stock indexes were up in late-morning trading Monday following the announcement o,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': 'All three major US stock indexes were up in late-morning trading Monday following the announcement o'}",374c49bd-f188-37af-b938-44e142e7118d,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/top-midday-stories-stocks-rally-154141521.html?.tsrc=rss'}]",https://finance.yahoo.com/news/top-midday-stories-stocks-rally-154141521.html?.tsrc=rss,2025-04-14 15:41:41,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=15, tm_min=41, tm_sec=41, tm_wday=0, tm_yday=104, tm_isdst=0)",Top Midday Stories: Stocks Rally on Tariff Exemption News; Pfizer Discontinues Development of Weight-Loss Drug,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GS&region=US&lang=en-US', 'value': 'Top Midday Stories: Stocks Rally on Tariff Exemption News; Pfizer Discontinues Development of Weight-Loss Drug'}",GS,Yahoo Finance,Top Midday Stories: Stocks Rally on Tariff Exemption News; Pfizer Discontinues Development of Weight-Loss Drug All three major US stock indexes were up in late-morning trading Monday following the announcement o,2025,4,14,0,211,31,110,15
