summary,summary_detail,id,guidislink,links,url,date,published_parsed,title,title_detail,ticker,source,text,Year,Month,Day,Weekday,text_length,word_count,title_length,title_word_count
"Jeff Bezos is reportedly backing a Michigan-based all-electric mobility startup, Slate Auto, with a goal of developing a cheap single-cab EV truck to take on the likes of Tesla Inc. (NASDAQ:TSLA) and Rivian Automotive Inc. (NASDAQ:RIVN). What happened: A report published by TechCrunch shared that the company is backed by Amazon.com Inc. (NASDAQ:AMZN) founder Jeff Bezos. The report said that Slate Auto has brought in people from the likes of Ford Motor Co. (NYSE:F), Harley-Davidson Inc. (NYSE:HOG","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=TSLA&region=US&lang=en-US', 'value': 'Jeff Bezos is reportedly backing a Michigan-based all-electric mobility startup, Slate Auto, with a goal of developing a cheap single-cab EV truck to take on the likes of Tesla Inc. (NASDAQ:TSLA) and Rivian Automotive Inc. (NASDAQ:RIVN). What happened: A report published by TechCrunch shared that the company is backed by Amazon.com Inc. (NASDAQ:AMZN) founder Jeff Bezos. The report said that Slate Auto has brought in people from the likes of Ford Motor Co. (NYSE:F), Harley-Davidson Inc. (NYSE:HOG'}",46610e1f-9de5-3a15-8e4b-3f9522847587,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/jeff-bezos-backed-slate-auto-213025162.html?.tsrc=rss'}]",https://finance.yahoo.com/news/jeff-bezos-backed-slate-auto-213025162.html?.tsrc=rss,2025-04-14 21:30:25,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=21, tm_min=30, tm_sec=25, tm_wday=0, tm_yday=104, tm_isdst=0)","Jeff Bezos-Backed Slate Auto To Take On Elon Musk's Tesla, Rivian With Budget EV Pickup: Report","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=TSLA&region=US&lang=en-US', 'value': ""Jeff Bezos-Backed Slate Auto To Take On Elon Musk's Tesla, Rivian With Budget EV Pickup: Report""}",TSLA,Yahoo Finance,"Jeff Bezos-Backed Slate Auto To Take On Elon Musk's Tesla, Rivian With Budget EV Pickup: Report Jeff Bezos is reportedly backing a Michigan-based all-electric mobility startup, Slate Auto, with a goal of developing a cheap single-cab EV truck to take on the likes of Tesla Inc. (NASDAQ:TSLA) and Rivian Automotive Inc. (NASDAQ:RIVN). What happened: A report published by TechCrunch shared that the company is backed by Amazon.com Inc. (NASDAQ:AMZN) founder Jeff Bezos. The report said that Slate Auto has brought in people from the likes of Ford Motor Co. (NYSE:F), Harley-Davidson Inc. (NYSE:HOG",2025,4,14,0,596,93,95,16
"There could be one reason for optimism when the EV maker posts first-quarter numbers, says RBC analyst Tom Narayan.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=TSLA&region=US&lang=en-US', 'value': 'There could be one reason for optimism when the EV maker posts first-quarter numbers, says RBC analyst Tom Narayan.'}",5697e0e1-e621-33be-8fb2-dec091d129c2,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/5697e0e1-e621-33be-8fb2-dec091d129c2/tesla-stock-wobbles-despite.html?.tsrc=rss'}]",https://finance.yahoo.com/m/5697e0e1-e621-33be-8fb2-dec091d129c2/tesla-stock-wobbles-despite.html?.tsrc=rss,2025-04-14 20:34:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=20, tm_min=34, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)",Tesla Stock Wobbles Despite Some Hope on Tariffs.,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=TSLA&region=US&lang=en-US', 'value': 'Tesla Stock Wobbles Despite Some Hope on Tariffs.'}",TSLA,Yahoo Finance,"Tesla Stock Wobbles Despite Some Hope on Tariffs. There could be one reason for optimism when the EV maker posts first-quarter numbers, says RBC analyst Tom Narayan.",2025,4,14,0,165,27,49,8
"Shares of Apple and Dell Technologies rise after the Trump administration exempts smartphones, computers, memory chips, and other electronics from broad tariffs, Nvidia will for the first time make artificial-intelligence supercomputers entirely in the United States, and Goldman Sachs reports better-than-expected first-quarter earnings.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=TSLA&region=US&lang=en-US', 'value': 'Shares of Apple and Dell Technologies rise after the Trump administration exempts smartphones, computers, memory chips, and other electronics from broad tariffs, Nvidia will for the first time make artificial-intelligence supercomputers entirely in the United States, and Goldman Sachs reports better-than-expected first-quarter earnings.'}",aa1be30d-f195-3264-af43-4cf2eba25053,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/aa1be30d-f195-3264-af43-4cf2eba25053/these-stocks-moved-the-most.html?.tsrc=rss'}]",https://finance.yahoo.com/m/aa1be30d-f195-3264-af43-4cf2eba25053/these-stocks-moved-the-most.html?.tsrc=rss,2025-04-14 20:16:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=20, tm_min=16, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)","These Stocks Moved the Most Today: Apple, Dell, Nvidia, Tesla, Goldman, Intel, Palantir, GM, Ford, and More","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=TSLA&region=US&lang=en-US', 'value': 'These Stocks Moved the Most Today: Apple, Dell, Nvidia, Tesla, Goldman, Intel, Palantir, GM, Ford, and More'}",TSLA,Yahoo Finance,"These Stocks Moved the Most Today: Apple, Dell, Nvidia, Tesla, Goldman, Intel, Palantir, GM, Ford, and More Shares of Apple and Dell Technologies rise after the Trump administration exempts smartphones, computers, memory chips, and other electronics from broad tariffs, Nvidia will for the first time make artificial-intelligence supercomputers entirely in the United States, and Goldman Sachs reports better-than-expected first-quarter earnings.",2025,4,14,0,446,60,107,17
Tesla halted Model S and X orders in China amid rising tariffs.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=TSLA&region=US&lang=en-US', 'value': 'Tesla halted Model S and X orders in China amid rising tariffs.'}",9ea221cb-179a-33d7-bcf8-3416bd675e24,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/tesla-pulls-plug-model-x-190519586.html?.tsrc=rss'}]",https://finance.yahoo.com/news/tesla-pulls-plug-model-x-190519586.html?.tsrc=rss,2025-04-14 19:05:19,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=19, tm_min=5, tm_sec=19, tm_wday=0, tm_yday=104, tm_isdst=0)",Tesla Pulls Plug on Model S and X Orders in China as Tariff War Heats Up,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=TSLA&region=US&lang=en-US', 'value': 'Tesla Pulls Plug on Model S and X Orders in China as Tariff War Heats Up'}",TSLA,Yahoo Finance,Tesla Pulls Plug on Model S and X Orders in China as Tariff War Heats Up Tesla halted Model S and X orders in China amid rising tariffs.,2025,4,14,0,136,28,72,16
"The Magnificent Seven stocks dropped Monday, as Apple rallied. Nvidia, Amazon, Meta and Tesla sold off on the stock market today.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=TSLA&region=US&lang=en-US', 'value': 'The Magnificent Seven stocks dropped Monday, as Apple rallied. Nvidia, Amazon, Meta and Tesla sold off on the stock market today.'}",4205eaa9-f620-3a0b-a81a-0e82c7c9fd0b,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/4205eaa9-f620-3a0b-a81a-0e82c7c9fd0b/magnificent-seven-stocks%3A.html?.tsrc=rss'}]",https://finance.yahoo.com/m/4205eaa9-f620-3a0b-a81a-0e82c7c9fd0b/magnificent-seven-stocks%3A.html?.tsrc=rss,2025-04-14 17:05:42,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=17, tm_min=5, tm_sec=42, tm_wday=0, tm_yday=104, tm_isdst=0)","Magnificent Seven Stocks: Apple Rallies; Nvidia, Amazon, Meta, Tesla Slide","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=TSLA&region=US&lang=en-US', 'value': 'Magnificent Seven Stocks: Apple Rallies; Nvidia, Amazon, Meta, Tesla Slide'}",TSLA,Yahoo Finance,"Magnificent Seven Stocks: Apple Rallies; Nvidia, Amazon, Meta, Tesla Slide The Magnificent Seven stocks dropped Monday, as Apple rallied. Nvidia, Amazon, Meta and Tesla sold off on the stock market today.",2025,4,14,0,204,31,74,10
"China’s suspension of critical rare earth minerals exports to the US could become a major headache for US companies, particularly automakers like Tesla, GM, and Rivian.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=TSLA&region=US&lang=en-US', 'value': 'China’s suspension of critical rare earth minerals exports to the US could become a major headache for US companies, particularly automakers like Tesla, GM, and Rivian.'}",539c42ea-3089-4ae4-8d78-9a77a15331cd,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/why-tesla-gm-and-rivian-will-be-hurt-most-by-chinas-critical-minerals-export-ban-162846793.html?.tsrc=rss'}]",https://finance.yahoo.com/news/why-tesla-gm-and-rivian-will-be-hurt-most-by-chinas-critical-minerals-export-ban-162846793.html?.tsrc=rss,2025-04-14 16:28:46,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=16, tm_min=28, tm_sec=46, tm_wday=0, tm_yday=104, tm_isdst=0)","Why Tesla, GM, and Rivian will be hurt most by China's critical minerals export ban","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=TSLA&region=US&lang=en-US', 'value': ""Why Tesla, GM, and Rivian will be hurt most by China's critical minerals export ban""}",TSLA,Yahoo Finance,"Why Tesla, GM, and Rivian will be hurt most by China's critical minerals export ban China’s suspension of critical rare earth minerals exports to the US could become a major headache for US companies, particularly automakers like Tesla, GM, and Rivian.",2025,4,14,0,252,41,83,15
"“Tesla (TSLA) has been holding up quite well over the past couple of weeks,” Schwab Network Correspondent George Tsilis said on the network recently. Moreover, TSLA does “not necessarily have the most exposure to international” catalysts, Tsilis added. An economist who worked for CME Group in the past, Tsilis was also a Financial Advisor for […]","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=TSLA&region=US&lang=en-US', 'value': '“Tesla (TSLA) has been holding up quite well over the past couple of weeks,” Schwab Network Correspondent George Tsilis said on the network recently. Moreover, TSLA does “not necessarily have the most exposure to international” catalysts, Tsilis added. An economist who worked for CME Group in the past, Tsilis was also a Financial Advisor for […]'}",7fcd50a6-9683-3c9c-9928-ea397bba888c,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/tesla-tsla-holding-well-may-134224080.html?.tsrc=rss'}]",https://finance.yahoo.com/news/tesla-tsla-holding-well-may-134224080.html?.tsrc=rss,2025-04-14 13:42:24,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=13, tm_min=42, tm_sec=24, tm_wday=0, tm_yday=104, tm_isdst=0)","Tesla (TSLA) “Holding Up Well,” May Be Better Positioned Than Other Big Tech Names, Schwab Analyst Says","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=TSLA&region=US&lang=en-US', 'value': 'Tesla (TSLA) “Holding Up Well,” May Be Better Positioned Than Other Big Tech Names, Schwab Analyst Says'}",TSLA,Yahoo Finance,"Tesla (TSLA) “Holding Up Well,” May Be Better Positioned Than Other Big Tech Names, Schwab Analyst Says “Tesla (TSLA) has been holding up quite well over the past couple of weeks,” Schwab Network Correspondent George Tsilis said on the network recently. Moreover, TSLA does “not necessarily have the most exposure to international” catalysts, Tsilis added. An economist who worked for CME Group in the past, Tsilis was also a Financial Advisor for […]",2025,4,14,0,451,73,103,17
"Despite political backlash and market pressure, Tesla's next vehicle launch and robotaxi rollout could revive investor interest","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=TSLA&region=US&lang=en-US', 'value': ""Despite political backlash and market pressure, Tesla's next vehicle launch and robotaxi rollout could revive investor interest""}",7e4872ef-ec13-39b6-bd7f-510d91bf5498,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/tesla-slides-benchmark-says-automation-123534449.html?.tsrc=rss'}]",https://finance.yahoo.com/news/tesla-slides-benchmark-says-automation-123534449.html?.tsrc=rss,2025-04-14 12:35:34,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=12, tm_min=35, tm_sec=34, tm_wday=0, tm_yday=104, tm_isdst=0)","As Tesla Slides, Benchmark Says Automation and Autonomy Could Spark Turnaround","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=TSLA&region=US&lang=en-US', 'value': 'As Tesla Slides, Benchmark Says Automation and Autonomy Could Spark Turnaround'}",TSLA,Yahoo Finance,"As Tesla Slides, Benchmark Says Automation and Autonomy Could Spark Turnaround Despite political backlash and market pressure, Tesla's next vehicle launch and robotaxi rollout could revive investor interest",2025,4,14,0,206,28,78,11
Benchmark Sees Political Fallout Easing as Tesla's Slide Nears Breaking Point,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=TSLA&region=US&lang=en-US', 'value': ""Benchmark Sees Political Fallout Easing as Tesla's Slide Nears Breaking Point""}",39eba249-1d47-35f8-9ec2-145353ead102,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/teslas-tumble-nears-end-benchmark-122236214.html?.tsrc=rss'}]",https://finance.yahoo.com/news/teslas-tumble-nears-end-benchmark-122236214.html?.tsrc=rss,2025-04-14 12:22:36,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=12, tm_min=22, tm_sec=36, tm_wday=0, tm_yday=104, tm_isdst=0)","Tesla's Tumble Nears Its End, Benchmark Analyst Foresees Rebound Ahead","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=TSLA&region=US&lang=en-US', 'value': ""Tesla's Tumble Nears Its End, Benchmark Analyst Foresees Rebound Ahead""}",TSLA,Yahoo Finance,"Tesla's Tumble Nears Its End, Benchmark Analyst Foresees Rebound Ahead Benchmark Sees Political Fallout Easing as Tesla's Slide Nears Breaking Point",2025,4,14,0,148,21,70,10
"Tesla (NASDAQ: TSLA) has been one of the best investments of all time.  With a market cap of nearly $800 billion, Tesla's biggest days of growth are arguably behind it.  This reality has caused investors to search for the next Tesla capable of producing huge gains.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=TSLA&region=US&lang=en-US', 'value': ""Tesla (NASDAQ: TSLA) has been one of the best investments of all time.  With a market cap of nearly $800 billion, Tesla's biggest days of growth are arguably behind it.  This reality has caused investors to search for the next Tesla capable of producing huge gains.""}",ad792a41-94e3-31ec-899c-e2417687d23e,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.fool.com/investing/2025/04/14/high-growth-electric-vehicle-stocks-tsla-lcid-rivn/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=d32bf851-5e66-4872-92c0-bac164532725&.tsrc=rss'}]",https://www.fool.com/investing/2025/04/14/high-growth-electric-vehicle-stocks-tsla-lcid-rivn/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=d32bf851-5e66-4872-92c0-bac164532725&.tsrc=rss,2025-04-14 12:05:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=12, tm_min=5, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)",2 High-Growth Electric Vehicle (EV) Stocks to Buy Now (Hint: Not Tesla),"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=TSLA&region=US&lang=en-US', 'value': '2 High-Growth Electric Vehicle (EV) Stocks to Buy Now (Hint: Not Tesla)'}",TSLA,Yahoo Finance,"2 High-Growth Electric Vehicle (EV) Stocks to Buy Now (Hint: Not Tesla) Tesla (NASDAQ: TSLA) has been one of the best investments of all time.  With a market cap of nearly $800 billion, Tesla's biggest days of growth are arguably behind it.  This reality has caused investors to search for the next Tesla capable of producing huge gains.",2025,4,14,0,337,58,71,12
