summary,summary_detail,id,guidislink,links,url,date,published_parsed,title,title_detail,ticker,source,text,Year,Month,Day,Weekday,text_length,word_count,title_length,title_word_count
"Alphabet (GOOGL) concluded the recent trading session at $159.07, signifying a +1.23% move from its prior day's close.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': ""Alphabet (GOOGL) concluded the recent trading session at $159.07, signifying a +1.23% move from its prior day's close.""}",aa427f18-05bd-3583-ad2d-ebb40a391428,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/alphabet-googl-outperforms-broader-market-214518246.html?.tsrc=rss'}]",https://finance.yahoo.com/news/alphabet-googl-outperforms-broader-market-214518246.html?.tsrc=rss,2025-04-14 21:45:18,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=21, tm_min=45, tm_sec=18, tm_wday=0, tm_yday=104, tm_isdst=0)",Alphabet (GOOGL) Outperforms Broader Market: What You Need to Know,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': 'Alphabet (GOOGL) Outperforms Broader Market: What You Need to Know'}",GOOGL,Yahoo Finance,"Alphabet (GOOGL) Outperforms Broader Market: What You Need to Know Alphabet (GOOGL) concluded the recent trading session at $159.07, signifying a +1.23% move from its prior day's close.",2025,4,14,0,185,28,66,10
"Alphabet Inc. (GOOG) concluded the recent trading session at $161.47, signifying a +1.3% move from its prior day's close.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': ""Alphabet Inc. (GOOG) concluded the recent trading session at $161.47, signifying a +1.3% move from its prior day's close.""}",213a0f5d-af58-37b9-82f1-d3445c71069b,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/alphabet-inc-goog-outperforms-broader-214517940.html?.tsrc=rss'}]",https://finance.yahoo.com/news/alphabet-inc-goog-outperforms-broader-214517940.html?.tsrc=rss,2025-04-14 21:45:17,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=21, tm_min=45, tm_sec=17, tm_wday=0, tm_yday=104, tm_isdst=0)",Alphabet Inc. (GOOG) Outperforms Broader Market: What You Need to Know,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': 'Alphabet Inc. (GOOG) Outperforms Broader Market: What You Need to Know'}",GOOGL,Yahoo Finance,"Alphabet Inc. (GOOG) Outperforms Broader Market: What You Need to Know Alphabet Inc. (GOOG) concluded the recent trading session at $161.47, signifying a +1.3% move from its prior day's close.",2025,4,14,0,192,30,70,11
"We recently published a list of 10 Best Bargain Stocks to Buy in May. In this article, we are going to take a look at where Alphabet Inc. (NASDAQ:GOOGL) stands against other best bargain stocks to buy in May. While increasing tariffs and a hard sell-off have resulted in uncertainty, Neuberger Berman, an investment manager, expects […]","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': 'We recently published a list of 10 Best Bargain Stocks to Buy in May. In this article, we are going to take a look at where Alphabet Inc. (NASDAQ:GOOGL) stands against other best bargain stocks to buy in May. While increasing tariffs and a hard sell-off have resulted in uncertainty, Neuberger Berman, an investment manager, expects […]'}",3b9e9b78-f6fe-3037-a2be-7808c5f37180,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/alphabet-inc-googl-best-bargain-192959255.html?.tsrc=rss'}]",https://finance.yahoo.com/news/alphabet-inc-googl-best-bargain-192959255.html?.tsrc=rss,2025-04-14 19:29:59,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=19, tm_min=29, tm_sec=59, tm_wday=0, tm_yday=104, tm_isdst=0)",Is  Alphabet Inc. (GOOGL)the Best Bargain Stock to Buy in May?,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': 'Is  Alphabet Inc.\xa0(GOOGL)the Best Bargain Stock to Buy in May?'}",GOOGL,Yahoo Finance,"Is  Alphabet Inc. (GOOGL)the Best Bargain Stock to Buy in May? We recently published a list of 10 Best Bargain Stocks to Buy in May. In this article, we are going to take a look at where Alphabet Inc. (NASDAQ:GOOGL) stands against other best bargain stocks to buy in May. While increasing tariffs and a hard sell-off have resulted in uncertainty, Neuberger Berman, an investment manager, expects […]",2025,4,14,0,399,68,62,11
Safe Superintelligence is a $32 billion AI startup co-founded by OpenAI's former chief scientist Ilya Sutskever.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': ""Safe Superintelligence is a $32 billion AI startup co-founded by OpenAI's former chief scientist Ilya Sutskever.""}",480d018a-d1ea-32d3-b892-316bf3a0da64,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/report-alphabet-nvidia-bet-big-190025996.html?.tsrc=rss'}]",https://finance.yahoo.com/news/report-alphabet-nvidia-bet-big-190025996.html?.tsrc=rss,2025-04-14 19:00:25,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=19, tm_min=0, tm_sec=25, tm_wday=0, tm_yday=104, tm_isdst=0)",Report: Alphabet and Nvidia Bet Big on OpenAI Co-Founder's New AI Startup Valued at $32 Billion,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': ""Report: Alphabet and Nvidia Bet Big on OpenAI Co-Founder's New AI Startup Valued at $32 Billion""}",GOOGL,Yahoo Finance,Report: Alphabet and Nvidia Bet Big on OpenAI Co-Founder's New AI Startup Valued at $32 Billion Safe Superintelligence is a $32 billion AI startup co-founded by OpenAI's former chief scientist Ilya Sutskever.,2025,4,14,0,208,32,95,16
The Federal Trade Commission alleges that the company engaged in a ‘systematic strategy’ to eliminate competitive threats in the social media space.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': 'The Federal Trade Commission alleges that the company engaged in a ‘systematic strategy’ to eliminate competitive threats in the social media space.'}",5b53d935-c621-336a-8e22-ba583df39709,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/5b53d935-c621-336a-8e22-ba583df39709/meta%E2%80%99s-antitrust-trial-begins.html?.tsrc=rss'}]",https://finance.yahoo.com/m/5b53d935-c621-336a-8e22-ba583df39709/meta%E2%80%99s-antitrust-trial-begins.html?.tsrc=rss,2025-04-14 18:09:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=18, tm_min=9, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)",Meta’s Antitrust Trial Begins Today. Why It’s So Important.,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': 'Meta’s Antitrust Trial Begins Today. Why It’s So Important.'}",GOOGL,Yahoo Finance,Meta’s Antitrust Trial Begins Today. Why It’s So Important. The Federal Trade Commission alleges that the company engaged in a ‘systematic strategy’ to eliminate competitive threats in the social media space.,2025,4,14,0,208,31,59,9
"As the AI arms race heats up, data centers have become one of the most coveted commodities in commercial real estate. Such is the draw that Related Companies, a privately owned real estate behemoth known for mainly building office, retail, and ...","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': 'As the AI arms race heats up, data centers have become one of the most coveted commodities in commercial real estate. Such is the draw that Related Companies, a privately owned real estate behemoth known for mainly building office, retail, and ...'}",c285ce42-fa45-3ec0-878e-6a82f39d1980,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/york-developer-related-looks-raise-173120713.html?.tsrc=rss'}]",https://finance.yahoo.com/news/york-developer-related-looks-raise-173120713.html?.tsrc=rss,2025-04-14 17:31:20,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=17, tm_min=31, tm_sec=20, tm_wday=0, tm_yday=104, tm_isdst=0)",New York Developer Related Looks To Raise $8 Billion For Data Center Investment,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': 'New York Developer Related Looks To Raise $8 Billion For Data Center Investment'}",GOOGL,Yahoo Finance,"New York Developer Related Looks To Raise $8 Billion For Data Center Investment As the AI arms race heats up, data centers have become one of the most coveted commodities in commercial real estate. Such is the draw that Related Companies, a privately owned real estate behemoth known for mainly building office, retail, and ...",2025,4,14,0,327,55,79,13
"Google's AI research lab, Google DeepMind, says that it has created an AI model that can help decipher dolphin vocalizations, supporting research efforts to better understand how dolphins communicate. The model, called DolphinGemma, was trained using data from the Wild Dolphin Project (WDP), a nonprofit that studies Atlantic spotted dolphins and their behaviors. Built on Google's open Gemma series of models, DolphinGemma, which can generate ""dolphin-like"" sound sequences, is efficient enough to","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': 'Google\'s AI research lab, Google DeepMind, says that it has created an AI model that can help decipher dolphin vocalizations, supporting research efforts to better understand how dolphins communicate. The model, called DolphinGemma, was trained using data from the Wild Dolphin Project (WDP), a nonprofit that studies Atlantic spotted dolphins and their behaviors. Built on Google\'s open Gemma series of models, DolphinGemma, which can generate ""dolphin-like"" sound sequences, is efficient enough to'}",2944941e-9261-36cb-8d7f-8f2ec94e1134,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://techcrunch.com/2025/04/14/googles-newest-ai-model-is-designed-to-help-study-dolphin-speech/?.tsrc=rss'}]",https://techcrunch.com/2025/04/14/googles-newest-ai-model-is-designed-to-help-study-dolphin-speech/?.tsrc=rss,2025-04-14 16:26:55,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=16, tm_min=26, tm_sec=55, tm_wday=0, tm_yday=104, tm_isdst=0)",Google's newest AI model is designed to help study dolphin 'speech',"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': ""Google's newest AI model is designed to help study dolphin 'speech'""}",GOOGL,Yahoo Finance,"Google's newest AI model is designed to help study dolphin 'speech' Google's AI research lab, Google DeepMind, says that it has created an AI model that can help decipher dolphin vocalizations, supporting research efforts to better understand how dolphins communicate. The model, called DolphinGemma, was trained using data from the Wild Dolphin Project (WDP), a nonprofit that studies Atlantic spotted dolphins and their behaviors. Built on Google's open Gemma series of models, DolphinGemma, which can generate ""dolphin-like"" sound sequences, is efficient enough to",2025,4,14,0,567,83,67,11
"Google Classroom introduced a new AI-powered feature designed to help teachers generate questions. Launched on Monday, this tool lets educators create a list of questions based on specific text input. Using this text-dependent question-generation tool, which utilizes Gemini, teachers can either upload files from Google Drive or manually enter text for the AI to generate questions. They can then export the questions into a Google Doc or Google Form. Educators can choose from a variety of filters,","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': 'Google Classroom introduced a new AI-powered feature designed to help teachers generate questions. Launched on Monday, this tool lets educators create a list of questions based on specific text input. Using this text-dependent question-generation tool, which utilizes Gemini, teachers can either upload files from Google Drive or manually enter text for the AI to generate questions. They can then export the questions into a Google Doc or Google Form. Educators can choose from a variety of filters,'}",ab9facfc-45ad-352f-b8c4-b8fef735a566,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://techcrunch.com/2025/04/14/google-classroom-gives-teachers-an-ai-feature-for-quiz-questions/?.tsrc=rss'}]",https://techcrunch.com/2025/04/14/google-classroom-gives-teachers-an-ai-feature-for-quiz-questions/?.tsrc=rss,2025-04-14 16:21:44,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=16, tm_min=21, tm_sec=44, tm_wday=0, tm_yday=104, tm_isdst=0)",Google Classroom gives teachers an AI feature for quiz questions,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': 'Google Classroom gives teachers an AI feature for quiz questions'}",GOOGL,Yahoo Finance,"Google Classroom gives teachers an AI feature for quiz questions Google Classroom introduced a new AI-powered feature designed to help teachers generate questions. Launched on Monday, this tool lets educators create a list of questions based on specific text input. Using this text-dependent question-generation tool, which utilizes Gemini, teachers can either upload files from Google Drive or manually enter text for the AI to generate questions. They can then export the questions into a Google Doc or Google Form. Educators can choose from a variety of filters,",2025,4,14,0,565,87,64,10
Two analysts duel over Alphabet. Which one is right?,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': 'Two analysts duel over Alphabet. Which one is right?'}",a78f30a1-fa6e-3562-b4da-62effacb35ce,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.fool.com/investing/2025/04/14/why-alphabet-stock-popped-on-monday/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=8b1286fe-8ad0-4e36-9ea4-3cf59bf28beb&.tsrc=rss'}]",https://www.fool.com/investing/2025/04/14/why-alphabet-stock-popped-on-monday/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=8b1286fe-8ad0-4e36-9ea4-3cf59bf28beb&.tsrc=rss,2025-04-14 15:50:01,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=15, tm_min=50, tm_sec=1, tm_wday=0, tm_yday=104, tm_isdst=0)",Why Alphabet Stock Popped on Monday,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': 'Why Alphabet Stock Popped on Monday'}",GOOGL,Yahoo Finance,Why Alphabet Stock Popped on Monday Two analysts duel over Alphabet. Which one is right?,2025,4,14,0,88,15,35,6
Crypto exchanges and wallet apps must meet EU's MiCA licensing rules to advertise in Google's platforms in 27 countries.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': ""Crypto exchanges and wallet apps must meet EU's MiCA licensing rules to advertise in Google's platforms in 27 countries.""}",f6e518dc-b3a8-3ba7-a8d6-d09741163c08,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.coindesk.com/policy/2025/04/14/google-to-restrict-crypto-ads-in-eu-to-mica-licensed-firms?.tsrc=rss'}]",https://www.coindesk.com/policy/2025/04/14/google-to-restrict-crypto-ads-in-eu-to-mica-licensed-firms?.tsrc=rss,2025-04-14 15:05:27,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=15, tm_min=5, tm_sec=27, tm_wday=0, tm_yday=104, tm_isdst=0)",Google to Restrict Crypto Ads in EU to MiCA-Licensed Firms,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GOOGL&region=US&lang=en-US', 'value': 'Google to Restrict Crypto Ads in EU to MiCA-Licensed Firms'}",GOOGL,Yahoo Finance,Google to Restrict Crypto Ads in EU to MiCA-Licensed Firms Crypto exchanges and wallet apps must meet EU's MiCA licensing rules to advertise in Google's platforms in 27 countries.,2025,4,14,0,179,29,58,10
